Año originación de los
préstamos,,,Total,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,
Principal (mill. €),,,5,873,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,164,,,0,216,,,0,516,,,0,599,,,2,020,,,2,358,,
Trimestres naturales
desde constitución del
Fondo,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,
,1,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,2,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,3,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,4,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,5,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,6,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,7,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,8,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,9,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,10,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,11,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,12,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,13,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
,14,,,0,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,,,0 ,00%,
