Fecha,,,%Tasa
anualizada,,,Tasa
acumulada,,,,,Fecha,,,%Tasa
anualizada,,,Tasa
acumulada,,,,,Fecha,,,%Tasa
anualizada,,,Tasa
acumulada,,
,31/12/2023,,,4,39,,,4,44,,,,,31/08/2018,,,5,11,,,3,20,,,,,30/04/2013,,,3,05,,,2,96,
,30/11/2023,,,4,42,,,4,44,,,,,31/07/2018,,,3,22,,,3,27,,,,,31/03/2013,,,3,05,,,3,00,
,31/10/2023,,,5,72,,,4,44,,,,,30/06/2018,,,3,24,,,3,27,,,,,28/02/2013,,,2,94,,,3,01,
,30/09/2023,,,5,72,,,4,46,,,,,31/05/2018,,,5,10,,,3,27,,,,,31/01/2013,,,3,22,,,3,05,
,31/08/2023,,,5,72,,,4,49,,,,,30/04/2018,,,5,24,,,3,30,,,,,31/12/2012,,,3,17,,,3,08,
,31/07/2023,,,5,63,,,4,49,,,,,31/03/2018,,,5,42,,,3,32,,,,,30/11/2012,,,3,18,,,3,12,
,30/06/2023,,,5,69,,,4,52,,,,,28/02/2018,,,0,98,,,2,89,,,,,31/10/2012,,,3,10,,,3,16,
,31/05/2023,,,4,38,,,4,46,,,,,31/01/2018,,,0,73,,,2,89,,,,,30/09/2012,,,5,67,,,3,20,
,30/04/2023,,,4,38,,,4,48,,,,,31/12/2017,,,0,57,,,2,90,,,,,31/08/2012,,,5,82,,,3,26,
,31/03/2023,,,7,80,,,4,33,,,,,30/11/2017,,,2,92,,,2,94,,,,,31/07/2012,,,4,23,,,2,93,
,28/02/2023,,,7,80,,,4,36,,,,,31/10/2017,,,0,52,,,2,94,,,,,30/06/2012,,,3,74,,,2,85,
,31/01/2023,,,7,71,,,4,36,,,,,30/09/2017,,,0,52,,,2,97,,,,,31/05/2012,,,3,80,,,2,91,
,31/12/2022,,,7,76,,,4,39,,,,,31/08/2017,,,0,52,,,2,99,,,,,30/04/2012,,,3,71,,,2,94,
,30/11/2022,,,4,33,,,4,35,,,,,31/07/2017,,,0,61,,,3,01,,,,,31/03/2012,,,3,68,,,2,98,
,31/10/2022,,,6,78,,,4,35,,,,,30/06/2017,,,0,78,,,3,04,,,,,29/02/2012,,,3,76,,,3,03,
,30/09/2022,,,6,99,,,4,38,,,,,31/05/2017,,,0,87,,,3,06,,,,,31/01/2012,,,3,53,,,3,01,
,31/08/2022,,,6,99,,,4,40,,,,,30/04/2017,,,0,90,,,3,08,,,,,31/12/2011,,,3,62,,,3,06,
,31/07/2022,,,6,97,,,4,41,,,,,31/03/2017,,,0,85,,,3,08,,,,,30/11/2011,,,3,60,,,3,10,
,30/06/2022,,,6,91,,,4,44,,,,,28/02/2017,,,3,10,,,3,22,,,,,31/10/2011,,,3,62,,,3,17,
,31/05/2022,,,6,91,,,4,46,,,,,31/01/2017,,,3,13,,,3,22,,,,,30/09/2011,,,1,04,,,2,45,
,30/04/2022,,,6,91,,,4,49,,,,,31/12/2016,,,3,16,,,3,22,,,,,31/08/2011,,,1,03,,,2,46,
,31/03/2022,,,0,83,,,4,08,,,,,30/11/2016,,,3,19,,,3,22,,,,,31/07/2011,,,1,04,,,2,51,
,28/02/2022,,,0,99,,,4,10,,,,,31/10/2016,,,1,30,,,3,22,,,,,30/06/2011,,,1,13,,,2,56,
,31/01/2022,,,0,82,,,4,11,,,,,30/09/2016,,,1,30,,,3,26,,,,,31/05/2011,,,1,10,,,2,61,
,31/12/2021,,,0,82,,,4,13,,,,,31/08/2016,,,1,30,,,3,29,,,,,30/04/2011,,,1,37,,,2,67,
,30/11/2021,,,0,80,,,4,14,,,,,31/07/2016,,,1,98,,,3,30,,,,,31/03/2011,,,1,33,,,2,74,
,31/10/2021,,,0,91,,,4,17,,,,,30/06/2016,,,1,89,,,3,31,,,,,28/02/2011,,,1,25,,,2,77,
,30/09/2021,,,0,69,,,4,18,,,,,31/05/2016,,,1,88,,,3,33,,,,,31/01/2011,,,1,24,,,2,81,
,31/08/2021,,,0,69,,,4,20,,,,,30/04/2016,,,1,71,,,3,35,,,,,31/12/2010,,,1,42,,,2,84,
,31/07/2021,,,4,22,,,4,27,,,,,31/03/2016,,,1,57,,,3,37,,,,,30/11/2010,,,1,32,,,2,90,
,30/06/2021,,,4,24,,,4,27,,,,,29/02/2016,,,1,78,,,3,40,,,,,31/10/2010,,,1,44,,,2,98,
,31/05/2021,,,5,88,,,4,27,,,,,31/01/2016,,,8,91,,,3,42,,,,,30/09/2010,,,1,34,,,3,05,
,30/04/2021,,,5,88,,,4,30,,,,,31/12/2015,,,8,92,,,3,44,,,,,31/08/2010,,,1,35,,,3,09,
,31/03/2021,,,10,22,,,4,32,,,,,30/11/2015,,,9,01,,,3,48,,,,,31/07/2010,,,1,39,,,3,19,
,28/02/2021,,,10,19,,,4,34,,,,,31/10/2015,,,8,77,,,3,48,,,,,30/06/2010,,,1,42,,,3,24,
,31/01/2021,,,10,19,,,4,37,,,,,30/09/2015,,,8,77,,,3,52,,,,,31/05/2010,,,1,40,,,3,36,
,31/12/2020,,,10,32,,,4,39,,,,,31/08/2015,,,8,84,,,3,56,,,,,30/04/2010,,,1,18,,,3,35,
,30/11/2020,,,10,26,,,4,41,,,,,31/07/2015,,,8,11,,,3,48,,,,,31/03/2010,,,1,27,,,3,50,
,31/10/2020,,,10,15,,,4,43,,,,,30/06/2015,,,8,48,,,3,51,,,,,28/02/2010,,,1,30,,,3,62,
,30/09/2020,,,11,14,,,4,45,,,,,31/05/2015,,,8,40,,,3,54,,,,,31/01/2010,,,1,20,,,3,74,
,31/08/2020,,,11,25,,,4,48,,,,,30/04/2015,,,8,40,,,3,58,,,,,31/12/2009,,,1,12,,,3,73,
,31/07/2020,,,17,41,,,4,50,,,,,31/03/2015,,,8,57,,,3,63,,,,,30/11/2009,,,1,26,,,3,93,
,30/06/2020,,,17,37,,,4,53,,,,,28/02/2015,,,8,38,,,3,64,,,,,31/10/2009,,,1,12,,,4,06,
,31/05/2020,,,12,84,,,4,13,,,,,31/01/2015,,,1,25,,,2,56,,,,,30/09/2009,,,1,34,,,4,31,
,30/04/2020,,,12,84,,,4,16,,,,,31/12/2014,,,1,29,,,2,58,,,,,31/08/2009,,,5,32,,,4,46,
,31/03/2020,,,8,63,,,3,81,,,,,30/11/2014,,,1,33,,,2,60,,,,,31/07/2009,,,5,32,,,4,70,
,29/02/2020,,,9,87,,,3,82,,,,,31/10/2014,,,1,33,,,2,63,,,,,30/06/2009,,,5,29,,,4,89,
,31/01/2020,,,11,66,,,3,85,,,,,30/09/2014,,,1,74,,,2,66,,,,,31/05/2009,,,5,29,,,5,29,
,31/12/2019,,,11,52,,,3,86,,,,,31/08/2014,,,1,67,,,2,69,,,,,30/04/2009,,,,,,5,66,
,30/11/2019,,,11,40,,,3,88,,,,,31/07/2014,,,1,78,,,2,71,,,,,31/03/2009,,,,,,6,10,
