Año originación
de los
préstamos,,,Total,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,
Principal
titulizado (mill.
€),,,97,910,,,97,9110,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,000,,,0,065,,,0,435,,,0,626,,,0,000,,,0,000,,,8,694,,,30,591,,
Trimestres
naturales desde
constitución del
Fondo,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,,% en
mora,,
,1,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,2,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,3,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,4,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,5,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,6,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,7,,,0,00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,00%,
,8,,,0,07%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 , 00%,,,0 ,00%,,,0 , 00%,,,0 ,12%,
