,% Morosidad sobre Balance,,,,
Periodo,0 dias,1-30 dias,31-60 dias,61-90 dias,>90 dias
4Q 2023,9 7,29,1 ,59,0 ,44,0 ,29,0 ,39
3Q 2023,9 7,45,1 ,48,0 ,31,0 ,35,0 ,41
2Q 2023,9 7,51,1 ,45,0 ,38,0 ,24,0 ,41
1Q 2023,9 7,59,1 ,47,0 ,33,0 ,15,0 ,45
4Q 2022,9 8,07,1 ,15,0 ,20,0 ,15,0 ,43
3Q 2022,9 7,82,1 ,29,0 ,27,0 ,13,0 ,50
2Q 2022,9 8,08,0 ,98,0 ,24,0 ,20,0 ,50
1Q 2022,9 7,84,1 ,20,0 ,31,0 ,17,0 ,48
4Q 2021,9 8,07,1 ,00,0 ,28,0 ,14,0 ,51
3Q 2021,9 7,96,1 ,10,0 ,31,0 ,15,0 ,50
2Q 2021,9 8,05,0 ,96,0 ,29,0 ,14,0 ,56
1Q 2021,9 7,54,1 ,18,0 ,47,0 ,18,0 ,62
4Q 2020,9 7,80,1 ,07,0 ,24,0 ,25,0 ,65
3Q 2020,9 7,00,1 ,52,0 ,35,0 ,33,0 ,80
2Q 2020,9 6,90,1 ,41,0 ,49,0 ,32,0 ,89
1Q 2020,9 5,81,2 ,23,0 ,70,0 ,39,0 ,87
4Q 2019,9 6,34,1 ,78,0 ,46,0 ,51,0 ,90
3Q 2019,9 6,36,1 ,70,0 ,52,0 ,51,0 ,91
2Q 2019,9 6,78,1 ,40,0 ,59,0 ,29,0 ,93
1Q 2019,9 6,57,1 ,62,0 ,49,0 ,47,0 ,85
