Cartera de Préstamos Hipotecarios al día 12/02/2024,,,,,
,,,,,
Clasificación por LTV (relación (%) principal pendiente /Valor Tasación inicial o actualizada),,,,,
,,,,,
,Préstamos hipotecarios,,Principal pendiente,,% LTV
Intervalos Relación,,,,,(Principal
,N.º,%,(euros),%,V.p Teansdaiecniótne/ *)
LTV con Tasación inicial
ECO,2.228 19,70,,192.312.823,41 25,51,,67,40 (1)
0,00 - 9,99,12 0,11,,242.636,23 0,03,,7,01
10,00 - 19,99,39 0,34,,1.254.632,48 0,17,,15,69
20,00 - 29,99,78 0,69,,3.353.255,70 0,44,,25,58
30,00 - 39,99,128 1,13,,7.239.913,54 0,96,,35,28
40,00 - 49,99,169 1,49,,10.760.764,43 1,43,,45,67
50,00 - 59,99,254 2,25,,18.976.901,44 2,52,,55,66
60,00 - 69,99,495 4,38,,41.531.635,75 5,51,,65,59
70,00 - 79,99,910 8,04,,92.519.612,80 12,27,,75,23
80,00 - 89,99,141 1,25,,16.216.231,64 2,15,,83,01
90,00 - 99,99,2 0,02,,217.239,40 0,03,,93,38
LTV con tasación
actualizada estadística,9.084 80,30,,561.470.354,94 74,49,,58,27 (2)
0,00 - 9,99,242 2,14,,3.645.152,89 0,48,,7,50
10,00 - 19,99,764 6,75,,18.644.943,98 2,47,,15,62
20,00 - 29,99,1.038 9,18,,38.206.957,16 5,07,,25,36
30,00 - 39,99,1.166 10,31,,57.304.598,07 7,60,,35,37
40,00 - 49,99,1.333 11,78,,79.941.605,02 10,61,,45,35
50,00 - 59,99,1.471 13,00,,103.814.166,51 13,77,,55,15
60,00 - 69,99,1.260 11,14,,100.008.825,89 13,27,,65,01
70,00 - 79,99,870 7,69,,74.927.270,88 9,94,,74,83
80,00 - 89,99,515 4,55,,45.718.171,10 6,07,,84,41
90,00 - 99,99,263 2,32,,22.377.618,45 2,97,,94,47
100,00 - 109,99,58 0,51,,6.241.858,79 0,83,,104,27
110,00 - 119,99,44 0,39,,4.399.566,54 0,58,,114,83
120,00 - 129,99,33 0,29,,3.360.521,00 0,45,,124,21
