Cartera de Préstamos Hipotecarios a 12/02/2024,,,,
Clasificación por intervalos de principal pendiente,,,,
Intervalo de capital,Préstamos,,Principal pendiente,
(en euros),Nº.,%,(euros),%
0,00 - 49.999,99,4.695 41,50,,148.042.155,48 19,64,
50.000,00 - 99.999,99,4.693 41,49,,333.078.771,75 44,19,
100.000,00 - 149.999,99,1.384 12,23,,165.194.080,91 21,92,
150.000,00 - 199.999,99,362 3,20,,61.692.570,35 8,18,
200.000,00 - 249.999,99,111 0,98,,24.614.553,23 3,27,
250.000,00 - 299.999,99,42 0,37,,11.424.576,75 1,52,
300.000,00 - 349.999,99,10 0,09,,3.148.919,38 0,42,
350.000,00 - 399.999,99,5 0,04,,1.903.200,11 0,25,
400.000,00 - 449.999,99,3 0,03,,1.302.287,15 0,17,
450.000,00 - 499.999,99,6 0,05,,2.854.531,04 0,38,
500.000,00 - 549.999,99,1 0,01,,527.532,20 0,07,
Total 11.312 100,00 753.783.178,35 100,00,,,,
,Principal medio:,,66.635,71,
,Principal mínimo:,,1.635,92,
,Principal máximo:,,527.532,20,
