Cartera de Préstamos Hipotecarios a 12/02/2024,,,,
Clasificación concentración de los 20 mayores deudores,,,,
Deudor,Préstamos,,Principal pendiente,
,hipotecarios,,,
,N.º,%,(euros),%
Deudor 1,2 0,018 534.010,30 0,071,,,
Deudor 2,1 0,009 527.532,20 0,070,,,
Deudor 3,1 0,009 491.848,54 0,065,,,
Deudor 4,1 0,009 487.992,68 0,065,,,
Deudor 5,1 0,009 477.755,00 0,063,,,
Deudor 6,1 0,009 470.273,28 0,062,,,
Deudor 7,1 0,009 468.506,45 0,062,,,
Deudor 8,1 0,009 458.155,09 0,061,,,
Deudor 9,1 0,009 447.660,79 0,059,,,
Deudor 10,1 0,009 444.489,27 0,059,,,
Deudor 11,1 0,009 410.137,09 0,054,,,
Deudor 12,1 0,009 391.842,65 0,052,,,
Deudor 13,1 0,009 390.516,38 0,052,,,
Deudor 14,1 0,009 376.065,03 0,050,,,
Deudor 15,1 0,009 363.089,21 0,048,,,
Deudor 16,1 0,009 332.817,81 0,044,,,
Deudor 17,1 0,009 329.480,17 0,044,,,
Deudor 18,1 0,009 327.991,79 0,044,,,
Deudor 19,1 0,009 323.131,79 0,043,,,
Deudor 20,1 0,009 308.843,52 0,041,,,
Resto deudores,11.291 99,814 745.421.039,31 98,891,,,
Total: 11.120 deudores 11.312 100,00 753.783.178,35 100,00,,,,
