Cartera de contratos de arrendamiento financiero seleccionados a 06.06.2007
Clasificación por Comunidades Autónomas,,
,Operaciones
%,Capital pendiente
( euros) %
Cataluña,15.692 18,91,743.674.775,77 25,58
Ceuta,16 0,02,1.319.859,58 0,05
Comunidad Valenciana,9.824 11,84,338.337.888,50 11,64
Extremadura,2.389 2,88,53.490.471,93 1,84
Galicia,3.679 4,43,104.229.115,03 3,58
La Rioja,608 0,73,23.231.300,35 0,80
Madrid,11.722 14,13,471.295.932,31 16,21
Melilla,1 0,00,3.342,79 0,00
Murcia,2.703 3,26,75.206.825,25 2,59
Navarra,803 0,97,36.945.054,53 1,27
País Vasco,3.474 4,19,144.588.802,98 4,97
Total 82.978 100,00 2.907.642.553,40 100,00,,
