Elab,,006,
,,,
,,,
,EMISIÓN CAIXA PENEDES 1 TDA, FONDO DE TITULIZACIÓN DE ACTIVOS
(División por Localización Geográfica de la Garantía),,
,,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
PROVINCIA GARANTÍA NUM PONDERADO PONDERADO PONDERADO POR
EUROS ACTUAL % ACTUAL ACTUAL
POR SALDO POR SALDO SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),,
,BARCELONA 7.159 815.843.988,81 76,87 325 293 3,630 2,750 4,787
CASTELLON 1 48 12.033.352,32 1,13 295 268 3,750 2,750 4,500
GERONA 8 30 88.585.970,00 8,35 319 294 3,680 2,765 4,789
GRANADA 1 2 03.407,57 0,02 360 350 3,000 3,000 3,000
GUADALAJARA 1 1 45.221,93 0,01 349 321 3,660 3,664 3,664
GUIPUZCOA 2 1 68.978,14 0,02 200 163 3,980 3,971 4,000
HUESCA 5 0 3.705.746,49 0,35 304 270 3,680 2,953 4,401
JAEN 1 3 34.013,79 0,03 360 333 3,760 3,755 3,755
LA CORUÑA 1 9 5.576,54 0,01 360 322 3,970 3,971 3,971
LEON 1 4 4.552,93 0,00 186 163 3,020 3,018 3,018
LERIDA 3 88 34.614.644,04 3,26 308 275 3,740 2,818 4,808
LOGROÑO 1 6 9.979,56 0,01 300 269 3,430 3,434 3,434
MADRID 4 1 5.462.756,96 0,51 307 275 3,540 2,818 4,539
NAVARRA 1 - 0,00 300 261 4,150 4,150 4,150
SEGOVIA 1 8 3.101,80 0,01 360 346 4,160 4,158 4,158
SEVILLA 3 2 42.955,24 0,02 360 323 3,310 2,970 3,971
TARRAGONA 1.027 97.892.967,38 9,22 306 278 3,700 2,750 4,750
TOLEDO 2 3 02.696,95 0,03 327 303 3,710 3,434 4,058
VALENCIA 1 5 5.673,80 0,01 240 222 3,530 3,533 3,533
ZARAGOZA 13 1 .394.583,91 0,13 300 277 3,540 2,918 4,250,,
,TOTALES 9.672 1 .061.280.168,16 100 322 290 3,650 2,750 4,808,,
75,,,
