TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS PERSONALES
Intervalo Saldos vivos Préstamos
(miles de
(%) euros) % nº %
3,46 - 3,99 25,05 0,05 2 0,06
4,00 - 4,49 1.102,48 2,36 59 1,80
4,50 - 4,99 1.349,84 2,89 84 2,57
5,00 - 5,49 381,61 0,81 25 0,76
5,50 - 5,99 728,81 1,56 37 1,13
6,00 - 6,49 5.048,48 10,80 315 9,65
6,50 - 6,99 10.154,30 21,74 644 19,73
7,00 - 7,49 15.290,08 32,73 1.079 33,05
7,50 - 7,99 7.756,77 16,60 587 17,98
8,00 - 8,49 3.893,36 8,33 329 10,07
8,50 - 8,99 659,09 1,41 67 2,05
9,00 - 9,49 268,00 0,57 31 0,94
9,50 - 9,99 0,00 0,00 0 0,00
10,00 - 10,49 5,16 0,01 1 0,03
10,50 - 10,99 0,00 0,00 0 0,00
11,00 - 11,00 44,25 0,09 4 0,12
Totales: 46.707.347,75 100,00 3.264 100,00
