Cartera de préstamos hipotecarios al día 31.03.2007
Clasificación por principal pendiente,,
Préstamos
Intervalo de principal Principal pendiente
hipotecarios
(en euros) Nº. % (euros) %,,
0,00 -49.999,99,3.582 19,23,127.642.726,59 6,25
50.000,00 -99.999,99,6.897 37,03,514.670.703,35 25,21
100.000,00 -149.999,99,4.335 23,28,532.894.541,70 26,10
150.000,00 -199.999,99,1.990 10,69,341.238.530,53 16,71
200.000,00 -249.999,99,913 4,90,202.226.717,73 9,90
250.000,00 -299.999,99,414 2,22,112.986.504,99 5,53
300.000,00 -349.999,99,180 0,97,58.325.517,75 2,86
350.000,00 -399.999,99,105 0,56,39.529.060,87 1,94
400.000,00 -449.999,99,65 0,35,27.579.945,47 1,35
450.000,00 -499.999,99,33 0,18,15.595.170,80 0,76
500.000,00 -549.999,99,33 0,18,17.175.090,38 0,84
550.000,00 -599.999,99,27 0,14,15.614.845,50 0,76
600.000,00 -649.999,99,10 0,05,6.254.419,59 0,31
650.000,00 -699.999,99,14 0,08,9.468.679,57 0,46
700.000,00 -749.999,99,10 0,05,7.249.476,67 0,36
750.000,00 -799.999,99,9 0,05,6.913.716,74 0,34
800.000,00 -849.999,99,1 0,01,807.347,94 0,04
850.000,00 -899.999,99,2 0,01,1.779.629,02 0,09
900.000,00 -949.999,99,3 0,02,2.773.516,28 0,14
950.000,00 -999.999,99,1 0,01,965.032,28 0,05
Total 18.624 100,00 2.041.691.173,75 100,00,,
Principal medio: 109.626,89
Principal mínimo: 1.538,30
Principal máximo: 965.032,28,,
