Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2009,6 0,03,48.123,92 0,00,15,30 28/08/2009
2010,34 0,15,501.338,00 0,02,26,86 14/08/2010
2011,85 0,37,1.784.121,59 0,08,38,07 22/07/2011
2012,168 0,74,3.441.427,17 0,16,50,08 21/07/2012
2013,197 0,87,4.712.833,52 0,21,62,26 27/07/2013
2014,266 1,17,6.780.110,83 0,31,73,93 17/07/2014
2015,318 1,40,10.011.328,47 0,45,85,87 16/07/2015
2016,422 1,86,16.424.235,98 0,74,97,84 14/07/2016
2017,375 1,65,16.633.504,80 0,75,109,60 7/07/2017
2018,271 1,19,11.885.998,19 0,54,121,40 1/07/2018
2019,351 1,54,17.528.078,43 0,79,133,85 15/07/2019
2020,516 2,27,24.487.998,63 1,11,146,15 24/07/2020
2021,860 3,78,47.015.523,07 2,13,158,03 20/07/2021
2022,803 3,53,52.304.552,05 2,37,168,71 10/06/2022
