Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por principal pendiente,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %
0,00 -24.999,99,1.383 6,08,25.435.969,26 1,15
25.000,00 -49.999,99,3.850 16,94,146.851.950,04 6,66
50.000,00 -74.999,99,4.595 20,21,285.532.924,86 12,94
75.000,00 -99.999,99,3.724 16,38,325.099.496,80 14,73
100.000,00 -124.999,99,3.029 13,33,340.608.838,86 15,44
125.000,00 -149.999,99,2.358 10,37,324.193.825,58 14,69
150.000,00 -174.999,99,1.441 6,34,233.061.948,42 10,56
175.000,00 -199.999,99,1.000 4,40,186.014.297,40 8,43
200.000,00 -224.999,99,537 2,36,113.171.771,43 5,13
225.000,00 -249.999,99,358 1,57,84.556.650,89 3,83
250.000,00 -274.999,99,157 0,69,41.071.408,00 1,86
275.000,00 -299.999,99,114 0,50,32.776.657,82 1,49
300.000,00 -324.999,99,63 0,28,19.567.090,09 0,89
325.000,00 -349.999,99,31 0,14,10.399.993,40 0,47
350.000,00 -374.999,99,25 0,11,9.017.434,22 0,41
375.000,00 -399.999,99,20 0,09,7.728.243,81 0,35
400.000,00 -424.999,99,16 0,07,6.562.985,20 0,30
425.000,00 -449.999,99,9 0,04,3.920.748,57 0,18
450.000,00 -474.999,99,4 0,02,1.855.782,13 0,08
475.000,00 -499.999,99,8 0,04,3.925.824,36 0,18
500.000,00 -524.999,99,2 0,01,1.004.064,28 0,05
525.000,00 -549.999,99,2 0,01,1.077.523,62 0,05
