Cartera de préstamos hipotecarios al día 19.05.2008
Clasificación por el tipo de interés nominal aplicable,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés
3,50 - 3,74,27 0,12,3.058.901,74 0,14,3,50
3,75 - 3,99,16 0,07,1.410.621,71 0,06,3,77
4,00 - 4,24,2 0,01,143.691,46 0,01,4,00
4,25 - 4,49,75 0,33,10.408.065,16 0,47,4,30
4,50 - 4,74,351 1,54,48.499.410,47 2,20,4,61
4,75 - 4,99,1.809 7,96,233.001.584,98 10,56,4,86
5,00 - 5,24,4.681 20,59,539.218.680,86 24,44,5,10
5,25 - 5,49,5.896 25,94,583.920.187,28 26,47,5,35
5,50 - 5,74,5.837 25,68,496.365.341,57 22,50,5,59
5,75 - 5,99,2.326 10,23,173.558.584,02 7,87,5,84
6,00 - 6,24,1.266 5,57,89.703.131,59 4,07,6,09
6,25 - 6,49,260 1,14,16.609.065,76 0,75,6,32
