CARTERA OPERACIONES DE DÍA 22 DE JUNIO DE 2017
CLASIFICACIÓN POR COMUNIDAD AUTÓNOMA DE LA GARANTÍA
CC.AA Operaciones % Operaciones Importe % Importe
CATALUNYA 26.569 46,49% 336.352.122,29 41,81%
MADRID 7.889 13,80% 128.568.725,57 15,98%
ANDALUCIA 9.406 16,46% 128.273.835,80 15,95%
COMUNIDAD VALENCIANA 4.283 7,49% 61.377.106,63 7,63%
ILLES BALEARS 3.144 5,50% 36.839.236,28 4,58%
EUSKADI 1.617 2,83% 23.145.110,84 2,88%
CASTILLA LEON 1.280 2,24% 14.854.210,35 1,85%
CASTILLA LA MANCHA 173 0,30% 13.340.828,91 1,66%
GALICIA 148 0,26% 10.667.038,40 1,33%
ARAGON 643 1,13% 9.958.563,72 1,24%
CANARIAS 116 0,20% 8.889.399,12 1,11%
CANTABRIA 649 1,14% 7.801.710,33 0,97%
MURCIA 111 0,19% 7.507.707,63 0,93%
NAVARRA 568 0,99% 5.859.705,83 0,73%
ASTURIAS 281 0,49% 4.280.500,17 0,53%
EXTREMADURA 49 0,09% 3.190.745,80 0,40%
LA RIOJA 171 0,30% 2.404.274,79 0,30%
CEUTA 48 0,08% 1.100.862,45 0,14%
MELILLA 6 0,01% 51.774,26 0,01%
Total general 57.151 100,00% 804.463.459,17 100,00%
