Fondo,Fecha Constitución,Emitido,Saldo Bonos
30/09/06
Fondos de Titulización Hipotecaria,,,
TDA 4 - F.T.H*,22-abr-98,150.253.027€,31.679.170€
TDA 5 - F.T.H*,16-oct-98,1.171.973.634€,196.990.454€
TDA 6 - F.T.H*,20-ene-99,351.500.000€,77.083.113€
TDA 7 - F.T.H*,12-mar-99,1.051.700.000€,296.078.151€
TDA 8 - F.T.H,9-abr-99,150.200.000€,47.641.910€
TDA 9 - F.T.H*,12-may-99,332.400.000€,93.253.865€
TDA 10 - F.T.H,21-jul-99,240.500.000€,55.877.432€
TDA 11 - F.T.H*,24-ene-00,660.600.000€,204.664.922€
TDA 12 - F.T.H*,26-jun-00,513.900.000€,176.145.876€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A*,5-dic-00,389.500.000€,147.291.854€
TDA 14-MIXTO - F.T.A*,20-jun-01,601.100.000€,256.322.466€
TDA 15-MIXTO - F.T.A*,4-nov-02,450.900.000€,241.818.324€
TDA 16-MIXTO - F.T.A*,26-may-03,532.000.000€,254.959.851€
TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,263.534.193€
TDA 18-MIXTO - F.T.A*,14-nov-03,421.000.000€,234.644.545€
TDA 19-MIXTO - F.T.A*,27-feb-04,600.000.000€,366.786.317€
TDA 20-MIXTO - F.T.A*,25-jun-04,421.000.000€,305.594.025€
TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,486.504.829€
TDA 22-MIXTO - F.T.A*,1-dic-04,530.000.000€,355.938.621€
TDA 23 - F.T.A*,17-mar-05,860.000.000€,653.509.476€
TDA 24- F.T.A*,28-nov-05,485.000.000€,425.993.535€
TDA 25- F.T.A*,29-jul-06,265.000.000€,265.000.000€
TDA 26-MIXTO - F.T.A*,5-jul-06,908.100.000€,908.100.000€
TDA PASTOR 1 - F.T.A*,25-feb-03,494.600.000€,268.193.378€
TDA CAM 1 - F.T.A*,13-mar-03,1.000.000.000€,564.803.640€
TDA CAM 2 - F.T.A*,27-jun-03,1.100.000.000€,647.829.390€
TDA CAM 3 - F.T.A*,16-ene-04,1.200.000.000€,770.044.984€
TDA CAM 4 - F.T.A*,9-mar-05,2.000.000.000€,1.551.247.107€
TDA CAM 5 - F.T.A*,5-oct-05,2.000.000.000€,1.794.325.578€
TDA CAM 6, FTA*,29-mar-06,1.300.000.000€,1.256.157.323€
TDA IBERCAJA 1 - F.T.A*,8-oct-03,600.000.000€,401.330.761€
TDA IBERCAJA 2 - F.T.A*,13-oct-05,904.500.000€,818.651.432€
TDA CAJAMAR 2 - F.T.A*,18-may-05,1.000.000.000€,815.000.000€
TDA IBERCAJA 3 - F.T.A.*,12-may-06,1.007.000.000€,965.728.256€
FTPYME TDA 3 - F.T.A*,14-feb-02,225.055.000€,50.442.781€
FTPYME TDA 4 - F.T.A*,10-oct-03,250.000.000€,110.537.585€
FTPYME TDA 5 - F.T.A*,29-dic-04,200.000.000€,116.066.135€
FTPYME TDA 6 - F.T.A*,24-nov-05,150.000.000€,121.159.032€
FTPYME TDA SABADELL 1 - F.T.A*,3-jun-02,600.000.000€,192.075.528€
FTPYME TDA SABADELL 2 - F.T.A*,12-nov-03,500.000.000€,394.906.844€
FTPYME TDA CAM 1 - F.T.A*,17-jun-02,600.000.000€,179.405.130€
FTPYME TDA CAM 2 - F.T.A*,17-nov-04,750.000.000€,495.528.000€
CIBELES III FTPYME - F.T.A*,18-dic-03,500.000.000€,408.156.735€
FTPYME TDA BANCA MARCH - F.T.A*,25-oct-04,200.000.000€,110.508.573€
CM BANCAJA 1 - F.T.A,28-sep-05,556.200.000€,422.778.027€
EMPRESAS HIPOTECARIO TDA CAM 3, F.T.A.*,7-jul-06,750.000.000€,750.000.000€
CÉDULAS TDA 1, F.T.A.*,12-jun-03,1.750.000.000€,1.750.000.000€
CÉDULAS TDA 2, F.T.A.*,13-nov-03,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 3, F.T.A.*,25-feb-04,2.000.000.000€,2.000.000.000€
CÉDULAS TDA 4, F.T.A.*,10-jun-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 5, F.T.A.*,24-nov-04,1.500.000.000€,1.500.000.000€
CÉDULAS TDA 6, F.T.A.*,18-may-05,3.000.000.000€,3.000.000.000€
CÉDULAS TDA 7, F.T.A.*,10-jun-05,2.000.000.000€,2.000.000.000€
PROGRAMA CEDULAS TDA, FTA*,2-mar-06,Máximo 30.000.000.0000,4.050.000.000€
TDA AUTO ABS 2002, F.T.A.,8-jul-02,950.000.000€,211.431.519€
GLOBALDRIVE (SPAIN) 2002-1 TDA, F.T.A.,3-dic-02,488.000.000€,285.005.689€
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA, F.T.A.,5-abr-04,Máximo 3.000.000.000,747.776.331€
GLOBALDRIVE SERIES 3 (SPAIN) TDA, F.T.A.,10-may-05,499.999.948€,307.446.931€
BANCO FINANTIA SOFINLOC Nº 1, F.T.A.,1-jul-04,Máximo 150,000,000€,71.201.351€
BANCO FINANTIA SOFINLOC TDA Nº 2, F.T.A.,11-mar-05,Máximo 500.000.000,117.780.877€
CAP-TDA 1, F.T.A.,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULACION DE ACTIVOS RESULTANTES DE LA MORATORIA NUCLEAR,25-abr-96,4.297.236.546€,0€
CAJA SAN FERNANDO CDO I, F.T.A.,17-feb-05,$167.250.000,$138.969.776
,,116.400.000€,94.605.896€
