CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 4
(División por Tipo de Referencia)

VENCIMIENTO VENCIMIENTO
SALDO INICIAL RESIDUAL TIPO DIFERENCIAL
SALDO ACTUAL Min. TIPO Máx. TIPO
TIPO REFERENCIA NUM ACTUAL PONDERADO PONDERADO PONDERADO POR
EUROS ACTUAL ACTUAL
% POR SALDO POR SALDO SALDO ACTUAL
INICIAL (meses) ACTUAL (meses)
TOTALES CECA 7 206.321,28 0,01 214 113 0,06 4,75 5,25
0,00 - 0,50 6 182.167,13 88,29 218 117 0,00 4,75 4,88
0,50 - 1,00 1 24.154,15 11,71 180 84 0,50 5,25 5,25
TOTALES EURIBOR 1 ANO 13.649 1.485.434.490,66 95,83 317 291 0,70 2,35 7,00
0,00 - 0,50 1.691 207.154.571 13,95 312 293 0,41 2,47 4,11
0,50 - 1,00 9.392 1.063.917.442,29 71,62 321 295 0,67 2,35 6,75
1,00 - 1,50 2.295 196.498.556,71 13,23 305 274 1,11 2,75 6,50
1,50 - 2,00 242 16.283.939,54 1,10 256 225 1,53 3,72 5,29
2,00 - 2,50 14 974.992,70 0,07 265 236 2,04 4,50 5,79
2,50 - 3,00 10 398.903,55 0,03 185 155 2,55 4,72 6,06
3,00 - 3,50 4 175.313,74 0,01 195 181 3,00 6,00 7,00
3,50 - 4,00 1 30.770,78 0,00 180 158 3,75 6,97 6,97
TOTALES IRPH 1.146 61.523.918,58 3,97 278 224 0,23 3,49 7,00
0,00 - 0,50 938 51.488.483,52 83,69 281 226 0,14 3,49 7,00
0,50 - 1,00 174 7.878.876,28 12,81 255 204 0,52 4,00 5,50
1,00 - 1,50 27 1.724.400,36 2,80 291 259 1,01 4,59 5,26
1,50 - 2,00 5 321.023 0,52 282 249 1,50 5,09 5,51
2,00 - 2,50 1 43.586,96 0,07 180 143 2,00 6,12 6,12
2,50 - 3,00 1 67.547,98 0,11 240 230 2,50 5,50 5,50
TOTALES MIBOR 1 ANO 75 2.839.382,50 0,18 233 141 1,05 2,93 5,00
0,00 - 0,50 4 204.353,26 7,20 284 186 0,25 2,93 3,65
0,50 - 1,00 6 266.085,12 9,37 207 141 0,68 3,00 4,50
1,00 - 1,50 52 1.967.060,43 69,28 236 140 1,09 3,25 5,00
1,50 - 2,00 13 401.884 14,15 209 125 1,51 3,75 5,00
TOTALES 14.877 1.550.004.113,02 100,00 315 288 2,350 7,00
