GC PASTOR HIPOTECARIO 5,,,,,
FONDO DE TITULIZACIÓN DE ACTIVOS,,,,
,,,,
ESCENARIO,,TAA 12%,TAA 15%,TAA 18%
Serie A1,Vida media (años),0,97,0,82,0,71
,TIR,4,177%,4,177%,4,177%
Serie A2,Vida media (años),5,72,4,92,4,29
,TIR,4,309%,4,309%,4,309%
Serie B,Vida media (años),7,40,6,38,5,59
,TIR,4,46%,4,46%,4,46%
Serie C,Vida media (años),7,40,6,38,5,59
,TIR,4,77%,4,77%,4,77%
Serie D,Vida media (años),7,89,6,96,6,14
,TIR,8,86%,8,86%,8,86%
Fecha de Liquidación Anticipada del
Fondo,,21/06/2017,21/06/2016,21/06/2015
Vencimiento (años),,10,13,9,12,8,10
