Cartera de Préstamos Hipotecarios a 29 de mayo de 2007,,,,,,
Clasificación por Intervalos de Fecha de Formalización,,,,,,
,,,Préstamos Hipotecarios,,Principal Pendiente,
,,,,,,
Intervalo,,,Nº,%,Importe,%
01/01/2000 30/06/2000
01/01/2001 30/06/2001
01/01/2002 30/06/2002
01/07/2002 31/12/2002
01/07/2003 31/12/2003
01/01/2004 30/06/2004
01/07/2004 31/12/2004
01/01/2005 30/06/2005
01/07/2005 31/12/2005
01/01/2006 30/06/2006
01/07/2006 31/12/2006,,,1 0,02%
1 0,02%
2 0,03%
5 0,08%
1 0,02%
8 0,13%
58 0,97%
126 2,11%
330 5,54%
3.466 58,17%
1.960 32,90%,,84.547,27 0,01%
25.412,91 0,00%
330.016,89 0,04%
953.356,97 0,10%
152.772,15 0,02%
1.686.002,69 0,18%
10.424.419,33 1,11%
27.605.918,67 2,94%
57.380.026,88 6,11%
524.380.085,44 55,82%
316.422.477,66 33,68%,
Total Cartera,,,5.958,100,00%,939.445.036,86,100,00%
Antigüedad
media 1,078 años
Antigüedad Máxima 18/04/2000
Antigüedad Mínima 29/12/2006,,,,,,
