Plazo hasta el vencimiento
(meses),Número de
préstamos,Número de
préstamos
(% del total),Principal pendiente
(EUR),Principal pendiente
(% del total)
0-12,1.024,1,3%,2.420.803,0,3%
12-24,3.482,4,4%,14.972.061,1,8%
24-36,7.406,9,4%,50.576.473,5,9%
36-48,19.576,24,9%,182.146.681,21,4%
48-60,24.398,31,0%,264.287.993,31,1%
60-72,8.366,10,6%,109.779.609,12,9%
72-84,6.426,8,2%,92.669.535,10,9%
84-96,3.060,3,9%,48.424.793,5,7%
96-108,2.248,2,9%,37.356.576,4,4%
108-120,2.759,3,5%,48.318.032,5,7%
Total,78.745,100%,8 50.952.556,100%
