,,,,,,Cargo o funciones,,,Cargo o,
,,,,,,que se ostentan o,,,funciones,
,,Tipo de,,Cargo o funciones,,,,,,
,,,Compañía a través de la,,,realizan en Banco,,,que se,
,Actividad,Régimen de,,que se ostentan o,,,,,,
Nombre,,,cual se prestan las fun-,,,Santander,,,ostentan,
,Realizada,Prestación,,realizan en la Socie-,,,,,,
,,,ciones,,,,,,o realizan,
,,de Actividad,,dad Indicada,,,,,,
,,,,,,,,,Santander,
,,,,,,,,,,
,,,,,,,,,Consumer,
,,,,,,,,,,
,Bancario,,Santander Investment, SA,Presidente,,,,,,
,,,,,,,,,,
,,,,Miembro del Consejo,,,,,,
,,,Bank Zachodni WBK, SA,,,,,,,
,Bancario,,,Supervisor,,,,,,
,,,,,,,,,,
,,,,,,,,,,
José García Cantera,,Empleado,,,,Director General,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Operador del Mercado,,,,,,,
,Energía,,Ibérico de Energía Polo,Miembro,,,,,,
,,,Español, SA,,,,,,,
,,,Santander Consumer,,,,,,,
,,,,Miembro,,,,,,
,,,Bank, S.p.A,,,,,,,
,,,,,,,,,,
,,,Santander Consumer,,,,,,,
,,,,Miembro,,,,,,
,,,Bank AS,,,,,,,
,,,,,,,,,,
Javier Antón San Pablo,Bancario,Empleado,Santander Benelux,,,,,,,Director,
,,,S.A./N.V.,Presidente,,,,,,
,,,,,,,,,,
,,,Santander Consumer (UK),,,,,,,
,,,plc.,Director,,,,,,
,,,,,,,,,,
,,,,,,Director General,,,,
Marta Elorza Trueba,,,,,,,,,,
,,,,,,Adjunto,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Sistema 4B,Miembro,,,,,,
,,,,,,,,,,
,,,Aegon Santander Vida,,,,,,,
,,,Seguros y Reaseguros,,Miembro,,Director General,,,,
Adolfo Ramirez Morales,Bancario,Empleado,,,,,,,,
,,,S.A.,,,Adjunto,,,,
,,,,,,,,,,
,,,Aegon Santander Genera-,,,,,,,
,,,les Seguros y Reasegu-,Miembro,,,,,,
,,,ros, S.A.,,,,,,,
,,,,,,,,,,
,,,Fondo Advance,Presidente,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Santander Investment,,,,,,,,
Francisco Galiana Guiu,Bancario,Empleado,,Miembro,,Director,,,,
,,,S.A.,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
