Fondo,,,Fecha
Constitución,,,Emitido,,,Saldo Bonos,,
,Fondos de Titulización,,,,,,,,31 de marzo de 2007,,
,Hipotecaria,,,,,,,,,,
,TDA 4 - F.T.H,,22-abr-98,,,150.253.027€,,,28.005.493€,,
,TDA 5 - F.T.H,,16-oct-98,,,1.171.973.634€,,,184.259.066€,,
,TDA 6 - F.T.H,,20-ene-99,,,351.500.000€,,,67.917.522€,,
,TDA 7 - F.T.H,,12-mar-99,,,1.051.700.000€,,,267.590.781€,,
TDA 8 - F.T.H,,,9-abr-99,,,150.200.000€,,,45.602.982€,,
,TDA 9 - F.T.H,,12-may-99,,,332.400.000€,,,89.099.027€,,
,TDA 10 - F.T.H,,21-jul-99,,,240.500.000€,,,52.955.108€,,
,TDA 11 - F.T.H,,24-ene-00,,,660.600.000€,,,185.418.356€,,
,TDA 12 - F.T.H,,26-jun-00,,,513.900.000€,,,158.505.822€,,
,Fondos de Titulización de Activos,,,,,,,,,,
,TDA 13-MIXTO - F.T.A,,5-dic-00,,,389.500.000€,,,133.887.911€,,
,TDA 14-MIXTO - F.T.A,,20-jun-01,,,601.100.000€,,,235.986.897€,,
,TDA 15-MIXTO - F.T.A,,4-nov-02,,,450.900.000€,,,234.310.862€,,
,TDA 16-MIXTO - F.T.A,,26-may-03,,,532.000.000€,,,243.701.977€,,
,TDA 17-MIXTO - F.T.A,,24-oct-03,,,455.000.000€,,,251.509.121€,,
,TDA 18-MIXTO - F.T.A,,14-nov-03,,,421.000.000€,,,225.161.456€,,
,TDA 19-MIXTO - F.T.A,,27-feb-04,,,600.000.000€,,,350.101.457€,,
,TDA 20-MIXTO - F.T.A,,25-jun-04,,,421.000.000€,,,282.452.141€,,
TDA 21-MIXTO - F.T.A,,,23-jul-04,,,775.000.000€,,,486.504.829€,,
,TDA 22-MIXTO - F.T.A,,1-dic-04,,,530.000.000€,,,340.405.069€,,
,TDA 23 - F.T.A,,17-mar-05,,,860.000.000€,,,624.320.079€,,
,TDA 24- F.T.A,,28-nov-05,,,485.000.000€,,,409.172.028€,,
,TDA 25- F.T.A,,29-jul-06,,,265.000.000€,,,254.117.607€,,
,TDA 26-MIXTO - F.T.A,,5-jul-06,,,908.100.000€,,,845.291.522€,,
,TDA 27- F.T.A,,20-dic-06,,,930.600.000€,,,901.837.001€,,
,TDA PASTOR 1 - F.T.A,,25-feb-03,,,494.600.000€,,,257.108.844€,,
,TDA CAM 1 - F.T.A,,13-mar-03,,,1.000.000.000€,,,542.319.976€,,
,TDA CAM 2 - F.T.A,,27-jun-03,,,1.100.000.000€,,,591.456.861€,,
,TDA CAM 3 - F.T.A,,16-ene-04,,,1.200.000.000€,,,703.337.063€,,
,TDA CAM 4 - F.T.A,,9-mar-05,,,2.000.000.000€,,,1.486.308.752€,,
,TDA CAM 5 - F.T.A,,5-oct-05,,,2.000.000.000€,,,1.676.223.495€,,
,TDA CAM 6, FTA,,,29-mar-06,,,1.300.000.000€,,1.180.132.430€,,
,TDA CAM 7, FTA,,,13-oct-06,,,1.750.000.000€,,1.699.646.897€,,
,TDA CAM 8, FTA,,,7-mar-07,,,1.712.800.000€,,1.712.800.000€,,
,TDA IBERCAJA 1 - F.T.A,,8-oct-03,,,600.000.000€,,,370.191.225€,,
,TDA IBERCAJA 2 - F.T.A,,13-oct-05,,,904.500.000€,,,767.332.452€,,
,TDA CAJAMAR 2 - F.T.A,,18-may-05,,,1.000.000.000€,,,751.639.485€,,
,TDA IBERCAJA 3 - F.T.A.,,12-may-06,,,1.007.000.000€,,,936.866.432€,,
