Elaborado con datos a 18/11/2009,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por Tipo de Referencia y margen)
,
,VENCIMIENTO TIPO ACTUAL TIPO DIFERENCIAL
SALDO VENCIMIENTO INICIAL
TIPO REFERENCIA Y MARGEN RESIDUAL PONDERADO PONDERADO POR PONDERADO POR Min. TIPO Máx. TIPO
NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
(%) POR SALDO ACTUAL SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses)
(meses) (%) (%)
,TOTALES CECA TAE 55 1.840.185,32 0,08 277,77 112,60 5,03 0,08 4,750 6,125
-0,50 - 0,00 1 26.061,43 1,42 240,00 60,00 4,88 -0,25 4,875 4,875
0,00 - 0,50 53 1.686.339,15 91,64 274,79 107,39 4,95 0,02 4,750 5,375
1,00 - 1,50 1 127.784,74 6,94 360,00 192,00 6,13 1,00 6,125 6,125
TOTALES EURIBOR 6 MESES 4 404.138,90 0,02 180,00 156,63 2,40 1,39 2,018 2,654
1,00 - 1,50 2 175.991,22 43,55 180,00 160,00 2,14 1,12 2,018 2,268
1,50 - 2,00 2 228.147,68 56,45 180,00 154,03 2,60 1,59 2,518 2,654
TOTALES EURIBOR UN AÑO 14.789 2.198.864.539,96 98,62 371,12 345,29 2,21 0,53 1,581 8,248
0,00 - 0,50 7.939 1.210.474.617,77 55,05 373,91 351,39 2,04 0,42 1,581 6,000
0,50 - 1,00 5.804 872.902.125,09 39,70 373,93 344,20 2,31 0,60 1,761 6,250
1,00 - 1,50 830 99.597.878,22 4,53 332,43 299,24 3,26 1,11 1,811 6,548
1,50 - 2,00 150 11.535.314,99 0,52 247,03 226,79 3,66 1,56 2,761 6,998
2,00 - 2,50 32 2.546.217,45 0,12 267,89 253,32 4,36 2,01 3,261 7,500
2,50 - 3,00 21 1.252.046,60 0,06 246,92 234,66 4,45 2,54 3,761 7,000
3,00 - 3,50 5 203.561,95 0,01 216,21 199,38 5,19 3,00 4,261 8,248
3,50 - 4,00 8 352.777,89 0,02 180,87 167,33 5,73 3,68 4,761 7,202
TOTALES IRPH CAJAS 324 21.598.320,90 0,97 304,54 237,09 3,73 0,17 2,750 4,941
-0,50 - 0,00 1 63.729,84 0,30 360,00 215,00 2,75 -0,25 2,750 2,750
0,00 - 0,50 259 18.238.795,33 84,45 312,40 247,02 3,65 0,09 3,241 4,800
0,50 - 1,00 57 2.930.721,62 13,57 266,18 182,45 4,08 0,52 3,741 4,500
1,00 - 1,50 5 224.182,98 1,04 177,07 157,29 4,68 1,07 4,241 4,930
1,50 - 2,00 2 140.891,13 0,65 236,13 224,71 4,94 1,50 4,941 4,941
TOTALES MIBOR 1A 186 6.900.847,81 0,31 275,26 125,27 3,77 1,14 1,834 7,277
0,50 - 1,00 40 1.587.845,34 23,01 285,75 137,27 3,40 0,68 1,834 6,000
1,00 - 1,50 90 3.335.325,27 48,33 270,37 122,85 3,51 1,12 2,500 6,750
1,50 - 2,00 51 1.825.150,81 26,45 276,48 120,93 4,52 1,50 2,761 7,000
2,00 - 2,50 5 152.526,39 2,21 266,51 105,28 4,26 2,00 3,261 7,277
,TOTALES 15.358 2.229.608.032,89 100 369,74 343,34 2,24 1,581 8,248
59,
