Elaborado con datos a 18/11/2009,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por ratio saldo actual/valor de tasación),,
,,,
,SALDO ACTUAL / VALOR
VENCIMIENTO TIPO ACTUAL
SALDO ACTUAL / VALOR SALDO VENCIMIENTO INICIAL DE TASACION
RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
DE TASACION NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR PONDERADO POR
POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) (%) SALDO INICIAL (meses) SALDO ACTUAL
(meses) (%)
(%),,
,Inferior a 10 5 110.673,90 0,00 235,85 252,89 2,36 8,98 1,832 2,909
10,00 - 20,00 85 4.275.097,31 0,19 229,75 180,63 2,42 18,46 1,641 8,248
20,00 - 30,00 1.114 75.055.946,55 3,37 257,00 217,50 2,41 25,45 1,631 7,000
30,00 - 40,00 1.375 119.904.684,74 5,38 283,92 250,67 2,42 35,33 1,581 7,000
40,00 - 50,00 1.459 162.765.637,50 7,30 319,84 289,52 2,33 45,30 1,581 7,277
50,00 - 60,00 1.806 231.966.843,73 10,40 340,72 309,21 2,30 55,36 1,591 7,000
60,00 - 70,00 2.910 442.591.839,18 19,85 366,62 335,99 2,23 65,29 1,581 6,748
70,00 - 80,00 4.309 755.893.404,76 33,90 397,84 368,43 2,15 75,33 1,581 7,500
80,00 - 90,00 1.170 215.484.844,42 9,66 416,23 385,09 2,25 85,32 1,591 6,498
90,00 - 100,00 1.125 221.559.060,80 9,94 435,45 403,03 2,25 94,44 1,591 6,100,,
,TOTALES 15.358 2 .229.608.032,89 100 369,74 343,34 2,24 67,99 1,581 8,248,,
68,,,
