Elaborado con datos a 18/11/2009,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por localización geográfica de la garantía),
,,
,VENCIMIENTO
TIPO ACTUAL
SALDO VENCIMIENTO INICIAL RESIDUAL
COMUNIDAD/ CIUDAD PONDERADO POR Min. TIPO Máx. TIPO
NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR PONDERADO POR
AUTÓNOMA GARANTÍA SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses) SALDO ACTUAL
(%)
(meses),
,Andalucia 7 24 114.727.944,82 5,15 377,85 351,02 2,23 1,611 6,748
Aragon 2 .499 343.222.140,81 15,39 350,80 324,46 2,26 1,611 7,500
Asturias 1 42 17.493.672,97 0,78 375,23 353,42 2,25 1,661 6,748
Cantabria 4 8 6.791.209,16 0,30 352,44 323,54 2,41 1,661 5,698
Castilla-La Mancha 1 .180 166.722.332,98 7,48 369,48 343,92 2,18 1,591 6,500
Castilla-Leon 3 21 40.140.654,92 1,80 356,80 332,55 2,22 1,611 5,848
Cataluña 1 .247 194.842.066,25 8,74 379,12 343,96 2,36 1,661 7,248
Ceuta 1 1 15.780,23 0,01 360,00 332,00 2,08 2,080 2,080
Extremadura 7 2 9.107.555,77 0,41 356,45 335,10 1,95 1,661 5,661
Galicia 2 86 35.285.829,14 1,58 379,89 357,77 2,33 1,581 6,100
Islas Baleares 9 4 17.892.114,71 0,80 407,58 378,89 2,08 1,661 5,000
Islas Canarias 5 4 8.587.353,86 0,39 379,83 343,60 2,15 1,661 4,850
La Rioja 6 68 79.943.396,31 3,59 332,10 303,55 2,22 1,641 5,600
Madrid 4 .815 759.411.709,89 34,06 374,82 349,44 2,12 1,611 7,277
Murcia 2 92 38.879.913,16 1,74 383,49 357,76 2,09 1,584 5,950
Navarra 1 63 21.612.675,87 0,97 358,42 328,43 2,56 1,611 6,000
País Vasco 7 2 15.148.414,57 0,68 384,46 357,05 2,20 1,611 5,848
Valencia 2 .680 359.683.267,47 16,13 375,92 351,12 2,43 1,631 8,248,
,TOTALES 15.358 2.229.608.032,89 100 369,74 343,34 2,24 1,581 8,248,
63,,
