Elaborado con datos a 18/11/2009,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 7
(División por vencimiento residual),
,,
,VENCIMIENTO TIPO ACTUAL
SALDO VENCIMIENTO INICIAL
VENCIMIENTO RESIDUAL RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
(meses) POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses)
(meses) (%),
,45,00 - 60,00 37 1.292.898,37 0,06 159,86 55,47 3,21 1,761 6,777
60,00 - 75,00 148 5.514.401,35 0,25 189,40 67,40 3,54 1,651 7,000
75,00 - 90,00 140 7.223.750,75 0,32 157,20 83,27 2,71 1,631 7,000
90,00 - 105,00 195 11.817.879,17 0,53 159,43 97,21 2,57 1,711 6,748
105,00 - 120,00 159 10.394.726,39 0,47 166,36 112,21 2,74 1,581 6,498
120,00 - 135,00 263 16.200.885,47 0,73 196,75 127,43 2,80 1,581 8,248
135,00 - 150,00 280 20.494.731,98 0,92 197,92 142,76 2,64 1,711 7,000
150,00 - 165,00 413 33.147.358,42 1,49 199,08 156,88 2,53 1,581 6,748
165,00 - 180,00 299 24.242.381,81 1,09 217,39 171,45 2,67 1,631 7,500
180,00 - 195,00 258 23.780.767,39 1,07 237,21 187,74 2,46 1,654 6,748
195,00 - 210,00 443 45.778.683,93 2,05 243,87 202,66 2,37 1,611 6,527
210,00 - 225,00 717 78.817.635,94 3,54 253,05 217,29 2,42 1,581 7,248
225,00 - 240,00 447 47.848.357,85 2,15 275,58 231,88 2,66 1,631 6,550
240,00 - 255,00 396 48.564.245,65 2,18 291,78 247,51 2,26 1,631 6,548
255,00 - 270,00 672 88.070.601,89 3,95 299,02 262,25 2,34 1,611 6,748
270,00 - 285,00 787 1 09.355.871,97 4,90 304,29 276,36 2,36 1,591 7,202
285,00 - 300,00 457 61.956.950,67 2,78 334,38 292,35 2,44 1,581 7,000
300,00 - 315,00 647 1 01.391.753,96 4,55 353,17 308,03 2,16 1,611 5,850
315,00 - 330,00 1.157 1 85.489.834,53 8,32 359,03 322,49 2,10 1,584 6,100
330,00 - 345,00 1.241 1 91.551.310,10 8,59 361,53 336,20 2,18 1,591 6,498
345,00 - 360,00 372 56.195.210,97 2,52 375,56 350,52 2,28 1,611 6,500
360,00 - 375,00 467 79.463.059,73 3,56 415,12 368,87 2,23 1,651 6,000
375,00 - 390,00 1.040 1 83.617.624,40 8,24 419,03 382,23 2,07 1,611 5,998
390,00 - 405,00 1.188 2 07.452.497,01 9,30 420,73 396,04 2,10 1,591 6,498
405,00 - 420,00 210 37.006.101,22 1,66 430,84 409,47 2,21 1,591 6,350
420,00 - 435,00 91 18.006.860,93 0,81 460,94 427,72 2,09 1,591 3,610
435,00 - 450,00 847 1 64.655.113,74 7,38 479,14 445,69 2,06 1,631 5,848
450,00 - 465,00 1.761 3 32.287.572,54 14,90 480,06 455,53 2,22 1,591 5,998
465,00 - 480,00 213 35.347.026,29 1,59 483,83 468,52 2,16 1,591 6,500
480,00 - 495,00 1 341.284,65 0,02 516,00 487,00 2,39 2,394 2,394
495,00 - 510,00 2 529.846,39 0,02 540,00 500,19 2,11 1,961 2,221
525,00 - 540,00 1 163.523,96 0,01 600,00 530,00 2,26 2,260 2,260
540,00 - 555,00 3 516.855,97 0,02 600,44 547,75 2,26 1,861 2,462
555,00 - 570,00 5 965.829,52 0,04 600,00 564,08 2,20 2,011 2,462
570,00 - 585,00 1 124.597,98 0,01 600,00 575,00 2,06 2,060 2,060,
,TOTALES 1 5.358 2.229.608.032,89 100 369,74 343,34 2,24 1,581 8,248,
57,,
