Cartera de préstamos hipotecarios al día 12.05.2008
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
mínimo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés mín.
1,00 - 1,24,2 0,01,119.443,00 0,00,1,00
2,00 - 2,24,4 0,01,479.826,04 0,01,2,00
2,25 - 2,49,12 0,04,1.317.482,72 0,02,2,25
2,50 - 2,74,24 0,08,2.567.408,77 0,05,2,50
2,75 - 2,99,33 0,11,4.823.771,67 0,09,2,77
3,00 - 3,24,78 0,25,8.362.144,42 0,15,3,00
3,50 - 3,74,8 0,03,629.616,73 0,01,3,50
Sin T.I.N. mínimo aplicable,31.136 99,49,5.440.111.612,41 99,66,
Total 31.297 100,00 5.458.411.305,76 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
