Fecha de
Fijación de
tipo,Euribor
3 meses,Serie A1,Serie A2,Serie A3,Serie A4,Serie B,Serie C,Serie D
Margen:,,0,02%,0,13%,0,14%,0,11%,0,35%,0,60%,3,50%
27/06/2006,3,04%,3,06%,3,17%,3,18%,3,15%,3,39%,3,64%,6,54%
26/06/2006,3,00%,3,02%,3,13%,3,14%,3,11%,3,35%,3,60%,6,50%
23/06/2006,3,00%,3,02%,3,13%,3,14%,3,11%,3,35%,3,60%,6,50%
22/06/2006,2,99%,3,01%,3,12%,3,13%,3,10%,3,34%,3,59%,6,49%
21/06/2006,2,99%,3,01%,3,12%,3,13%,3,10%,3,34%,3,59%,6,49%
20/06/2006,2,98%,3,00%,3,11%,3,12%,3,09%,3,33%,3,58%,6,48%
19/06/2006,2,97%,2,99%,3,10%,3,11%,3,08%,3,32%,3,57%,6,47%
16/06/2006,2,97%,2,99%,3,10%,3,11%,3,08%,3,32%,3,57%,6,47%
15/06/2006,2,96%,2,98%,3,09%,3,10%,3,07%,3,31%,3,56%,6,46%
14/06/2006,2,96%,2,98%,3,09%,3,10%,3,07%,3,31%,3,56%,6,46%
13/06/2006,2,96%,2,98%,3,09%,3,10%,3,07%,3,31%,3,56%,6,46%
12/06/2006,2,95%,2,97%,3,08%,3,09%,3,06%,3,30%,3,55%,6,45%
09/06/2006,2,95%,2,97%,3,08%,3,09%,3,06%,3,30%,3,55%,6,45%
