Tipo de Tipo de
Numero interes Interes
Rango LTV Actual Interes Pond Margen Ponderado Saldo Vivo % Disposic. Mínimo Máximo
0 - 10 3,36 0,59 3.978.574,00 € 0,22% 147 2,60 4,75
10 - 20 3,40 0,65 25.400.645,41 € 1,39% 587 2,45 4,50
20 - 30 3,43 0,64 43.770.632,95 € 2,39% 729 2,60 5,50
30 - 40 3,45 0,63 64.169.011,82 € 3,51% 795 2,58 5,50
40 - 50 3,44 0,64 82.376.532,22 € 4,50% 868 2,60 4,75
50 - 60 3,44 0,65 107.910.994,36 € 5,90% 924 2,60 4,75
60 - 70 3,47 0,67 127.559.755,63 € 6,97% 977 2,60 4,75
70 - 80 3,47 0,69 250.487.892,50 € 13,70% 1.780 2,60 5,25
80 - 90 3,60 0,70 207.821.090,63 € 11,36% 1.392 2,59 5,00
90 - 100 3,68 0,70 915.440.441,45 € 50,05% 5.230 2,45 5,00
Total general 3,59 0,681.828.915.570,97 € 100,00% 13.429 2,45 5,50
