Interés Margen Numero Tipo de interes Tipo de Interes
Año Vto Pond Ponderado Saldo Vivo % Disposic. Mínimo Máximo
2007 3,75 0,40 15.310,14 € 0,00% 1 3,75 3,75
2008 3,87 0,70 139.268,91 € 0,01% 4 3,58 4,00
2009 3,78 0,56 265.471,37 € 0,01% 12 3,00 4,25
2010 3,48 0,69 861.903,27 € 0,05% 24 2,95 4,75
2011 3,92 0,49 1.261.556,49 € 0,07% 45 3,16 4,75
2012 3,60 0,58 1.969.335,28 € 0,11% 58 2,77 4,75
2013 3,61 0,61 3.444.157,32 € 0,19% 89 2,79 4,50
2014 3,46 0,60 5.570.442,03 € 0,30% 113 2,60 4,50
2015 3,55 0,58 8.211.689,67 € 0,45% 157 2,69 5,50
2016 3,43 0,60 4.653.774,46 € 0,25% 82 2,67 4,75
2017 3,63 0,61 5.685.729,77 € 0,31% 112 2,92 4,75
2018 3,61 0,66 6.566.826,08 € 0,36% 135 2,70 4,75
2019 3,48 0,64 10.414.628,58 € 0,57% 148 2,60 5,50
2020 3,51 0,63 19.300.412,95 € 1,06% 276 2,60 4,50
2021 3,55 0,53 7.749.361,26 € 0,42% 98 2,77 4,25
2022 3,62 0,60 8.567.275,22 € 0,47% 133 2,87 4,75
2023 3,54 0,69 15.023.462,53 € 0,82% 174 2,67 4,75
2024 3,39 0,61 19.644.097,49 € 1,07% 246 2,70 4,41
2025 3,51 0,69 43.387.054,95 € 2,37% 446 2,65 5,00
2026 3,55 0,62 11.764.913,90 € 0,64% 111 2,69 5,25
2027 3,55 0,63 22.244.796,74 € 1,22% 217 2,72 4,75
2028 3,48 0,71 26.807.558,00 € 1,47% 251 2,70 5,00
2029 3,46 0,66 28.533.569,07 € 1,56% 281 2,70 4,71
2030 3,58 0,68 67.980.605,92 € 3,72% 580 2,58 4,71
2031 3,65 0,47 27.350.285,35 € 1,50% 260 2,60 4,75
2032 3,60 0,52 56.316.201,37 € 3,08% 492 2,60 4,75
2033 3,55 0,63 105.183.560,66 € 5,75% 877 2,69 4,61
2034 3,39 0,63 160.553.238,05 € 8,78% 1.153 2,60 4,71
2035 3,63 0,72 1.120.468.167,43 € 61,26% 6.649 2,45 5,00
2036 3,61 0,71 38.980.916,71 € 2,13% 205 2,85 4,65
Total
general 3,59 0,68 1.828.915.570,97 € 100,00% 13.429 2,45 5,50
