PAYMENT
DATE,NAS-IO PAYMENT
01/12/2005 -5.350,00
22/03/2006 493,33
22/06/2006 400,00
22/09/2006 400,00
22/12/2006 400,00
22/03/2007 400,00
22/06/2007 400,00
24/09/2007 400,00
24/12/2007 400,00
25/03/2008 400,00
23/06/2008 400,00
22/09/2008 400,00
22/12/2008 400,00
23/03/2009 400,00
22/06/2009 400,00
22/09/2009 400,00
22/12/2009 400,00
22/03/2010 400,00
22/06/2010 400,00
22/09/2010 400,00
22/12/2010 0,00
22/03/2011 0,00
22/06/2011 0,00
22/09/2011 0,00
22/12/2011 0,00
22/03/2012 0,00
22/06/2012 0,00
24/09/2012 0,00
24/12/2012 0,00
22/03/2013 0,00
24/06/2013 0,00
23/09/2013 0,00
23/12/2013 0,00
24/03/2014 0,00
23/06/2014 0,00
22/09/2014 0,00
22/12/2014 0,00
23/03/2015 0,00
22/06/2015 0,00
22/09/2015 0,00
22/12/2015 0,00
22/03/2016 0,00
22/06/2016 0,00
22/09/2016 0,00
22/12/2016 0,00
22/03/2017 0,00
22/06/2017 0,00
22/09/2017 0,00
22/12/2017 0,00
22/03/2018 0,00
22/06/2018 0,00
24/09/2018 0,00
24/12/2018 0,00
22/03/2019 0,00
24/06/2019 0,00
23/09/2019 0,00
23/12/2019 0,00
23/03/2020 0,00
22/06/2020 0,00
22/09/2020 0,00
22/12/2020 0,00
22/03/2021 0,00
22/06/2021 0,00
22/09/2021 0,00
22/12/2021 0,00
22/03/2022 0,00
22/06/2022 0,00
22/09/2022 0,00
22/12/2022 0,00
22/03/2023 0,00
22/06/2023 0,00
22/09/2023 0,00
22/12/2023 0,00
22/03/2024 0,00
24/06/2024 0,00
23/09/2024 0,00
23/12/2024 0,00,
TOTAL 7.693,33,
