,orado con datos a 09/11/2004,
,,
,CARTERA TOTAL ELEGIBLE DE AUDITORÍA DE DERECHOS DE CRÉDITO, EMISIÓN TDA 22-MIXTO
(División por Tipo de Referencia)
GRUPO 2,
,,
,VENCIMIENTO VENCIMIENTO TIPO
TIPO ACTUAL
SALDO INICIAL RESIDUAL DIFERENCIAL
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
TIPO REFERENCIA NUM ACTUAL PONDERADO PONDERADO PONDERADO
EUROS POR SALDO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses) ACTUAL,
,EURIBOR 1915 1 78.442.949,60 66,54 361 344 3,50 1,04 2,40 6,50,
,0,00 - 0,50,5 6 27.829,54 0,35 328 299 2,86 0,00 2,41 3,16
,0,50 - 1,00 508 6 5.844.282,09 36,90 355 338 3,09 0,73 2,40 4,50
1,00 - 1,50 797 9 6.269.946,28 53,95 367 350 3,49 1,08 2,80 5,95
1,50 - 2,00 79 5 .808.723,43 3,26 341 325 4,25 1,61 3,00 5,95
2,00 - 2,50 134 2 .709.068,66 1,52 352 337 5,75 2,13 4,16 6,00
2,50 - 3,00 392 7 .183.099,60 4,03 352 337 5,91 2,53 4,75 6,50,
,IRPH 841 8 8.124.054,80 32,86 375 356 3,80 0,18 2,91 6,00,
,0,00 - 0,50 638 7 3.688.808,75 83,62 380 361 3,72 0,11 2,91 6,00
0,50 - 1,00 135 1 3.099.155,39 14,86 349 332 4,01 0,51 3,75 5,95
1,00 - 1,50 44 8 63.120,74 0,98 352 333 5,61 1,10 4,00 6,00
1,50 - 2,00 23 4 53.017,98 0,51 321 298 5,80 1,67 5,00 6,00
2,00 - 2,50 1 1 9.951,94 0,02 360 348 5,95 2,00 5,95 5,95
MIBOR 22 1 .614.474,79 0,60 289 214 3,25 0,91 2,66 4,00
0,00 - 0,50 1 9 5.593,20 5,92 252 171 2,90 0,40 2,90 2,90
0,50 - 1,00 6 4 64.457,02 28,77 251 178 3,02 0,69 2,66 3,13
1,00 - 1,50 14 9 90.449,27 61,35 306 231 3,36 1,02 3,06 4,00
1,50 - 2,00 1 6 3.975,30 3,96 360 286 3,87 1,50 3,87 3,87,
,TOTALES 2.778 268.181.479,19 100 365 347 3,59 2,40 6,50,
101,,
