Elaborado con datos a 09/11/2004,
,CARTERA AUDITADA ELEGIBLE DE DERECHOS DE CRÉDITO, EMISIÓN TDA 22-MIXTO
(División por Fecha de Formalización)
GRUPO 1
,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL
FECHA SALDO ACTUAL SALDO PONDERADO Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO
FORMALIZACION EUROS ACTUAL % POR SALDO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses)
,1995 16 944.108,53 0,30 276 166 3,83 3,25 5,00
1996 59 3.038.801,12 0,97 260 160 3,89 3,05 6,00
1997 103 5.645.696,48 1,80 257 169 3,99 2,75 6,00
1998 248 13.349.277,87 4,25 255 179 3,81 2,65 6,00
1999 300 16.704.023,11 5,32 249 185 3,73 2,25 5,25
2000 269 15.650.730,72 4,98 257 204 3,73 2,65 5,25
2001 435 27.474.217,82 8,75 248 208 3,63 2,75 5,00
,2002 612 51.116.609,20 16,28 292 265 3,52 2,70 5,25
,2003 1813 173.290.194,40 55,18 331 315 3,75 2,43 6,00
2004 52 6.856.713,40 2,18 351 341 3,94 3,25 4,50
,TOTALES 3.907 314.070.372,65 100 304 275 3,71 2,25 6,00
86,
