Gastos de constitución del Fondo y emisión de los Bonos,Euros
Registro del Folleto Informativo de admisión en la CNMV,39.033,00 euros
Supervisión del proceso de admisión a cotización por la
CNMV,9.000,00 euros
Tarifa de admisión a cotización en AIAF Mercado de Renta
Fija,52.200,00 euros
Inclusión de la emisión en el registro de anotaciones en cuenta
de IBERCLEAR,2.320,00 euros
Subtotal (gastos de admisión a cotización),102.553,00 euros
Aranceles notariales, honorarios de auditoría, calificación,
asesoramiento legal, publicidad de la emisión, imprenta y
otros.,497.447,00 euros
Comisiones de aseguramiento y colocación de la emisión de
Bonos,700.000,00 euros
Total gastos,1.300.000,00 euros
