CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA IBERCAJA 3
(División por Ratio Saldo Actual/Tasación)

RATIO SALDO
VENCIMIENTO VENCIMIENTO TIPO
ACTUAL/
SALDO INICIAL RESIDUAL ACTUAL
RATIO SALDO SALDO ACTUAL TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO
ACTUAL/TASACION EUROS PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
POR SALDO
INICIAL (meses) ACTUAL (meses) ACTUAL
ACTUAL
0,00 - 10,00 25 699.151,38 0,05 157 127 3,23 8,24 2,60 4,01
10,00 - 20,00 448 17.388.843,87 1,34 196 160 3,24 16,42 2,55 6,75
20,00 - 30,00 1.246 56.820.342,53 4,37 219 176 3,25 25,70 2,47 4,75
30,00 - 40,00 1.684 94.597.191,13 7,27 244 202 3,24 35,25 2,55 4,63
40,00 - 50,00 1.585 120.353.669,71 9,25 277 247 3,24 45,05 2,55 5,75
50,00 - 60,00 1.672 155.344.492,60 11,94 294 267 3,22 55,15 2,42 5,25
60,00 - 70,00 1.927 195.974.932,52 15,07 307 282 3,22 65,35 2,47 5,50
70,00 - 80,00 3.085 360.173.494,55 27,69 330 308 3,22 75,43 2,47 7,00
80,00 - 90,00 1.176 144.401.174,62 11,10 347 322 3,37 85,50 2,60 6,50
90,00 - 100,00 1.340 154.964.051,57 11,91 347 318 3,37 92,63 2,55 4,75
TOTALES 14.188 1.300.717.344,48 100,00 308 281 3,26 65,92 2,418 7,00
