Cartera de préstamos hipotecarios al día 31.12.2006
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/07/1999 a 31/12/1999,1 0,005,46.407,37 0,001
01/01/2000 a 30/06/2000,1 0,005,79.132,00 0,003
01/07/2000 a 31/12/2000,4 0,019,256.453,24 0,008
01/01/2001 a 30/06/2001,3 0,014,252.180,95 0,008
01/07/2001 a 31/12/2001,5 0,023,1.118.077,04 0,036
01/01/2002 a 30/06/2002,6 0,028,857.557,72 0,028
01/07/2002 a 31/12/2002,2 0,009,197.734,47 0,006
01/01/2003 a 30/06/2003,23 0,107,2.156.841,14 0,070
01/07/2003 a 31/12/2003,26 0,121,3.393.640,30 0,110
01/01/2004 a 30/06/2004,97 0,453,9.715.292,11 0,314
01/07/2004 a 31/12/2004,393 1,835,49.314.054,40 1,593
01/01/2005 a 30/06/2005,964 4,501,129.559.680,73 4,185
01/07/2005 a 31/12/2005,10.516 49,101,1.520.110.302,51 49,107
01/01/2006 a 30/06/2006,9.088 42,434,1.335.282.901,02 43,136
01/07/2006 a 31/12/2006,288 1,345,43.185.378,65 1,395
Total,21.417 100,00,3.095.525.633,65 100,00
,12,87 Meses
85,70 Meses
3,32 Meses,Antigüedad media po nd erada
Antigüedad máxima
Antigüedad mínima
