Cartera de préstamos hipotecarios al día 31.12.2006
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2008,3 0,01,15.330,27 0,00,17,15 5/06/2008
2009,3 0,01,114.706,06 0,00,30,37 12/07/2009
2010,3 0,01,86.263,26 0,00,40,84 27/05/2010
2011,9 0,04,606.518,94 0,02,54,75 25/07/2011
2012,6 0,03,223.389,39 0,01,63,75 23/04/2012
2013,3 0,01,207.131,32 0,01,75,61 19/04/2013
2014,25 0,12,1.757.160,66 0,06,90,26 9/07/2014
2015,25 0,12,2.608.035,07 0,08,103,30 10/08/2015
2016,51 0,24,3.495.367,21 0,11,113,17 6/06/2016
2017,24 0,11,1.455.266,07 0,05,124,83 26/05/2017
2018,36 0,17,2.748.863,10 0,09,136,13 5/05/2018
2019,70 0,33,6.260.471,26 0,20,151,66 21/08/2019
2020,115 0,54,10.980.686,06 0,35,160,89 28/05/2020
2021,159 0,74,14.289.823,36 0,46,172,46 15/05/2021
2022,40 0,19,4.078.724,31 0,13,186,44 15/07/2022
2023,57 0,27,6.503.457,03 0,21,197,81 26/06/2023
2024,82 0,38,10.376.585,45 0,34,211,60 19/08/2024
2025,692 3,23,75.626.114,66 2,44,224,27 8/09/2025
2026,725 3,39,77.148.991,13 2,49,231,06 3/04/2026
2027,56 0,26,7.862.605,91 0,25,247,03 2/08/2027
