,,30.09.2006
(A),,31.12.2005,,30.09.2005
(C),Variación interanual,,
,,,,(B),,,,,
,Beneficio Neto atribuido al Grupo,272.615,,332.080,,232.504,40.111,,17,25
,,,,,,,,,
,RATIOS,,,,,,,,
,Índice de Morosidad,0,53%,,0,53%,,0,54%,-0,01%,,-1,85
,Índice de Cobertura de la Morosidad,364,03%,,374,49%,,351,25%,12,78%,,3,64
,Ratio de Eficiencia Estricto (2),42,50%,,44,83%,,45,60%,-3,10%,,-6,80
,Ratio de Eficiencia,39,02%,,41,22%,,41,82%,-2,80%,,-6,70
,Coeficiente de Solvencia,12,98%,,11,21%,,14,02%,-1,04%,,-7,42
,Fondos Propios Básicos,6,65%,,7,38%,,7,67%,-1,02%,,-13,30
,Fondos Propios Estables,5,02%,,5,67%,,5,60%,-0,58%,,-10,36
,ROE(3),14,89%,,14,95%,,14,59%,0,30%,,2,06
,ROA(4),0,63%,,0,69%,,0,68%,-0,05%,,-7,35
,,,,,,,,,
,OFICINAS Y EMPLEADOS,,,,,,,,
,Oficinas(5),1.467,,1.420,,1.409,58,,4,12
,Empleados (5),7.486,,7.270,,7.170,316,,4,41
