Cartera de préstamos hipotecarios al día 31.12.2006
Clasificación por el tipo de interés nominal aplicable,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés
2,25 - 2,49,1 0,00,176.557,96 0,01,2,41
2,50 - 2,74,13 0,06,1.996.576,24 0,06,2,62
2,75 - 2,99,162 0,76,28.768.565,07 0,93,2,85
3,00 - 3,24,660 3,08,108.445.885,80 3,50,3,07
3,25 - 3,49,1.207 5,64,202.493.858,30 6,54,3,33
3,50 - 3,74,2.349 10,97,339.885.250,85 10,98,3,59
3,75 - 3,99,2.740 12,79,407.275.439,51 13,16,3,85
4,00 - 4,24,3.396 15,86,507.880.847,09 16,41,4,11
4,25 - 4,49,4.329 20,21,629.288.666,59 20,33,4,36
4,50 - 4,74,3.989 18,63,554.918.941,73 17,93,4,60
