Tasa Interna Rentabilidad, Vida Media y Duración para el suscriptor,,,,,
,Tasa de amortización anticipada,,,,
,6%,8%,10%,12%,14%
Tramo A,,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,15-jul-28
21,42
9,02
6,74
4,062%,15-oct-25
18,67
7,62
5,88
4,062%,15-jul-23
16,42
6,54
5,19
4,063%,15-jul-21
14,42
5,69
4,62
4,064%,15-ene-20
12,92
5,03
4,16
4,065%
Tramo B,,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,15-jul-28
21,42
13,27
9,50
4,259%,15-oct-25
18,67
11,25
8,38
4,259%,15-jul-23
16,42
9,68
7,44
4,260%,15-jul-21
14,42
8,43
6,65
4,260%,15-ene-20
12,92
7,46
6,01
4,261%
Tramo C,,,,,
Vencimiento
Años
Vida Media
Duración
T.I.R. Bruta,15-jul-28
21,42
13,28
9,30
4,573%,15-oct-25
18,67
11,26
8,21
4,574%,15-jul-23
16,42
9,69
7,31
4,574%,15-jul-21
14,42
8,43
6,55
4,575%,15-ene-20
12,92
7,46
5,93
4,575%
