Fecha Bonos de la Serie A1(T) Bonos de la Serie A2(T) Bonos de la Serie B(T) Bonos de la Serie C(T)
de Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo Principal Intereses Flujo
Pago Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total Amortizado Brutos Total
TOTALES: 100.000,00 3.206,98 103.206,98 100.000,00 17.835,84 117.835,84 100.000,00 31.676,46 131.676,46 100.000,00 37.784,18 137.784,18
17 feb 2005
18 abr 2005 0,00 370,83 370,83 0,00 379,17 379,17 0,00 429,17 429,17 0,00 512,50 512,50
18 jul 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 oct 2005 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 abr 2006 0,00 567,23 567,23 0,00 579,87 579,87 0,00 655,71 655,71 0,00 782,09 782,09
17 jul 2006 100.000,00 567,23 100.567,23 7.648,71 579,87 8.228,58 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2006 0,00 0,00 0,00 2.781,51 535,52 3.317,03 0,00 655,71 655,71 0,00 782,09 782,09
16 ene 2007 0,00 0,00 0,00 2.714,65 525,10 3.239,75 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2007 0,00 0,00 0,00 2.606,18 498,11 3.104,29 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2007 0,00 0,00 0,00 2.565,62 488,54 3.054,16 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2007 0,00 0,00 0,00 2.524,72 478,86 3.003,58 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2008 0,00 0,00 0,00 2.463,67 464,06 2.927,73 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2008 0,00 0,00 0,00 2.384,72 444,73 2.829,45 0,00 655,71 655,71 0,00 782,09 782,09
16 jul 2008 0,00 0,00 0,00 2.327,47 430,90 2.758,37 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2008 0,00 0,00 0,00 2.289,76 421,99 2.711,75 0,00 662,91 662,91 0,00 790,69 790,69
16 ene 2009 0,00 0,00 0,00 2.234,05 408,57 2.642,62 0,00 662,91 662,91 0,00 790,69 790,69
16 abr 2009 0,00 0,00 0,00 2.145,16 386,88 2.532,04 0,00 648,50 648,50 0,00 773,50 773,50
16 jul 2009 0,00 0,00 0,00 2.110,64 378,74 2.489,38 0,00 655,71 655,71 0,00 782,09 782,09
16 oct 2009 0,00 0,00 0,00 2.075,85 370,52 2.446,37 0,00 662,91 662,91 0,00 790,69 790,69
18 ene 2010 0,00 0,00 0,00 2.025,02 366,15 2.391,17 0,00 677,32 677,32 0,00 807,88 807,88
16 abr 2010 0,00 0,00 0,00 1.944,64 331,42 2.276,06 0,00 634,09 634,09 0,00 756,31 756,31
16 jul 2010 0,00 0,00 0,00 1.912,78 331,44 2.244,22 0,00 655,71 655,71 0,00 782,09 782,09
18 oct 2010 0,00 0,00 0,00 1.880,70 330,91 2.211,61 0,00 677,32 677,32 0,00 807,88 807,88
17 ene 2011 0,00 0,00 0,00 1.834,33 309,44 2.143,77 0,00 655,71 655,71 0,00 782,09 782,09
18 abr 2011 0,00 0,00 0,00 1.761,69 298,81 2.060,50 0,00 655,71 655,71 0,00 782,09 782,09
18 jul 2011 0,00 0,00 0,00 1.732,30 288,59 2.020,89 0,00 655,71 655,71 0,00 782,09 782,09
17 oct 2011 0,00 0,00 0,00 1.179,75 278,55 1.458,30 5.279,52 655,71 5.935,23 5.270,85 782,09 6.052,94
16 ene 2012 0,00 0,00 0,00 1.383,29 271,71 1.655,00 2.796,35 621,09 3.417,44 2.796,60 740,87 3.537,47
16 abr 2012 0,00 0,00 0,00 1.338,78 263,68 1.602,46 2.706,36 602,75 3.309,11 2.706,61 719,00 3.425,61
16 jul 2012 0,00 0,00 0,00 1.305,75 255,92 1.561,67 2.639,60 585,01 3.224,61 2.639,84 697,83 3.337,67
16 oct 2012 0,00 0,00 0,00 1.283,02 251,08 1.534,10 2.593,64 573,94 3.167,58 2.593,88 684,63 3.278,51
16 ene 2013 0,00 0,00 0,00 1.250,92 243,56 1.494,48 2.528,75 556,74 3.085,49 2.528,98 664,12 3.193,10
16 abr 2013 0,00 0,00 0,00 1.201,64 231,09 1.432,73 2.429,15 528,24 2.957,39 2.429,37 630,12 3.059,49
16 jul 2013 0,00 0,00 0,00 1.180,47 226,69 1.407,16 2.386,34 518,18 2.904,52 2.386,56 618,12 3.004,68
16 oct 2013 0,00 0,00 0,00 1.158,79 222,26 1.381,05 2.342,51 508,06 2.850,57 2.342,73 606,04 2.948,77
16 ene 2014 0,00 0,00 0,00 1.129,49 215,46 1.344,95 2.283,28 492,53 2.775,81 2.283,49 587,52 2.871,01
16 abr 2014 0,00 0,00 0,00 1.084,70 204,30 1.289,00 2.192,73 467,01 2.659,74 2.192,94 557,08 2.750,02
16 jul 2014 0,00 0,00 0,00 1.065,49 200,28 1.265,77 2.153,91 457,83 2.611,74 2.154,10 546,12 2.700,22
16 oct 2014 0,00 0,00 0,00 1.046,18 196,24 1.242,42 2.114,88 448,58 2.563,46 2.115,08 535,09 2.650,17
16 ene 2015 0,00 0,00 0,00 1.019,59 190,10 1.209,69 2.061,12 434,56 2.495,68 2.061,31 518,37 2.579,68
16 abr 2015 0,00 0,00 0,00 979,66 180,12 1.159,78 1.980,41 411,74 2.392,15 1.980,59 491,15 2.471,74
