Cartera de préstamos hipotecarios al día 03.01.2005
Clasificación por fecha de vencimiento final,,,
Año de vencimiento
final,Préstamos
%,Principal pendiente
(euros) %,Vida Residual *
Meses Fecha
2006,21 0,27,259.689,48 0,03,20,06 6/09/2006
2007,32 0,41,572.421,91 0,07,29,89 2/07/2007
2008,50 0,65,1.402.226,19 0,18,43,94 1/09/2008
2009,28 0,36,1.016.531,21 0,13,54,50 20/07/2009
2010,54 0,70,1.996.194,18 0,25,65,85 30/06/2010
2011,91 1,18,3.364.610,86 0,42,78,79 29/07/2011
2012,88 1,14,4.114.967,21 0,52,89,33 14/06/2012
2013,334 4,32,18.736.084,31 2,36,102,72 27/07/2013
2014,68 0,88,3.840.604,46 0,48,111,12 8/04/2014
2015,131 1,69,8.512.079,01 1,07,126,51 21/07/2015
2016,135 1,75,8.768.176,44 1,10,137,53 20/06/2016
2017,118 1,53,8.104.394,97 1,02,150,71 26/07/2017
2018,836 10,81,62.460.041,37 7,87,163,14 8/08/2018
2019,133 1,72,10.524.810,27 1,33,170,57 23/03/2019
2020,108 1,40,8.203.394,57 1,03,187,15 8/08/2020
2021,190 2,46,17.913.940,13 2,26,197,81 29/06/2021
2022,148 1,91,12.856.387,87 1,62,209,62 23/06/2022
