,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAJA INGENIEROS TDA 1
(División por localización geográfica de la garantía),
,,
,VENCIMIENTO TIPO ACTUAL
SALDO VENCIMIENTO INICIAL
RESIDUAL PONDERADO PONDERADO POR Min. TIPO Máx. TIPO
PROVINCIA NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
POR SALDO ACTUAL SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses)
(meses) (%),
,ALICANTE 1 83.397,05 0,03 359,00 313,00 5,57 5,570 5,570
ALMERIA 1 66.305,09 0,02 300,00 234,00 5,88 5,884 5,884
ASTURIAS 2 123.487,32 0,04 327,04 264,47 4,96 4,850 5,494
BADAJOZ 1 101.144,46 0,04 420,00 410,00 5,40 5,400 5,400
BALEARES 1 1 1.174.828,31 0,41 353,98 315,44 5,43 2,635 6,248
BARCELONA 1 .260 206.907.672,51 72,66 356,82 324,88 4,92 2,535 6,598
BURGOS 1 199.383,90 0,07 340,00 285,00 5,77 5,773 5,773
CADIZ 4 345.220,83 0,12 265,37 199,73 5,06 4,452 5,320
CANTABRIA 3 708.781,26 0,25 373,00 348,85 5,11 4,750 5,843
CASTELLÓN 4 363.635,60 0,13 310,61 263,00 3,38 2,635 5,748
CIUDAD REAL 1 107.858,20 0,04 420,00 392,00 4,85 4,850 4,850
CORDOBA 3 323.755,35 0,11 314,84 262,56 4,13 3,072 5,823
CUENCA 1 72.350,64 0,03 180,00 144,00 5,09 5,090 5,090
GIRONA 7 2 9.987.935,92 3,51 350,51 317,66 4,95 2,635 6,184
GRANADA 2 317.549,70 0,11 332,25 328,85 4,37 3,952 4,500
GUADALAJARA 1 142.634,51 0,05 360,00 325,00 5,32 5,320 5,320
HUELVA 9 1.098.066,62 0,39 371,77 345,09 5,01 3,842 5,984
HUESCA 3 348.130,82 0,12 340,64 314,14 4,96 3,842 5,748
JAEN 1 50.849,42 0,02 420,00 356,00 3,95 3,952 3,952
LA CORUÑA 2 106.992,08 0,04 380,42 317,81 5,38 5,100 5,884
LAS PALMAS 1 204.399,41 0,07 239,00 204,00 5,09 5,090 5,090
LERIDA 1 2 1.970.222,72 0,69 370,95 334,26 5,15 3,122 5,893
MADRID 2 62 42.125.777,14 14,79 345,66 319,92 4,83 2,585 6,393
MALAGA 6 718.416,31 0,25 346,10 316,43 4,56 3,842 5,605
MURCIA 1 211.995,25 0,07 420,00 383,00 3,13 3,135 3,135
ORENSE 1 169.193,61 0,06 420,00 354,00 5,88 5,884 5,884
S. C. DE TENERIFE 1 119.341,10 0,04 361,00 312,00 2,63 2,635 2,635
SEVILLA 7 8 8.498.096,61 2,98 332,29 299,48 5,29 2,635 6,493
TARRAGONA 4 6 6.020.094,09 2,11 340,89 312,18 4,77 2,585 6,198
TOLEDO 1 3.987,03 0,00 134,00 23,00 4,85 4,850 4,850
VALENCIA 9 1.745.206,56 0,61 413,33 388,79 4,75 2,635 5,590
VALLADOLID 1 120.252,03 0,04 360,00 291,00 6,36 6,361 6,361
ZARAGOZA 1 210.000,00 0,07 420,00 406,00 3,37 3,372 3,372,
,TOTALES 1.803 284.746.961,45 100 353,95 323,04 4,91 2,535 6,598,
65,,
