,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAJA INGENIEROS TDA 1
(División por vencimiento residual),,
,,,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO SALDO VENCIMIENTO INICIAL RESIDUAL
PONDERADO POR Min. TIPO Máx. TIPO
RESIDUAL NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR PONDERADO POR
SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(meses) (%) SALDO INICIAL (meses) SALDO ACTUAL
(%)
(meses),,
,0,00 - 20,00 16 30.997,44 0,01 231,77 12,90 4,67 2,635 6,111
20,00 - 40,00 22 450.368,85 0,16 98,90 32,00 5,24 2,635 6,111
40,00 - 60,00 16 500.090,43 0,18 118,67 49,69 4,63 3,122 6,027
60,00 - 80,00 29 1.344.610,84 0,47 156,50 71,04 4,86 2,635 5,893
80,00 - 100,00 18 1.023.079,58 0,36 168,68 90,12 4,56 2,884 5,893
100,00 - 120,00 43 2.864.763,63 1,01 181,44 107,69 4,75 2,635 6,111
120,00 - 140,00 48 4.064.808,17 1,43 201,99 128,81 5,36 2,635 6,159
140,00 - 160,00 55 4.836.612,74 1,70 213,11 150,89 4,83 2,635 6,138
160,00 - 180,00 65 4.830.087,86 1,70 250,92 169,17 4,79 2,635 6,111
180,00 - 200,00 86 8.551.680,56 3,00 266,77 189,87 5,15 2,535 6,143
200,00 - 220,00 66 7.699.390,25 2,70 257,42 207,88 4,97 2,635 5,984
220,00 - 240,00 59 8.284.078,17 2,91 278,40 228,36 5,08 2,635 6,043
240,00 - 260,00 66 8.070.269,05 2,83 301,38 249,40 5,21 3,122 6,134
260,00 - 280,00 98 14.760.750,75 5,18 326,27 271,75 4,88 2,585 6,361
280,00 - 300,00 152 21.702.515,75 7,62 345,20 288,94 4,94 2,635 6,393
300,00 - 320,00 144 23.016.672,51 8,08 358,26 309,90 4,97 2,585 5,923
320,00 - 340,00 84 16.012.319,54 5,62 362,61 329,69 4,82 2,585 5,993
340,00 - 360,00 131 22.089.007,29 7,76 396,31 350,59 4,76 2,585 6,434
360,00 - 380,00 281 54.209.491,49 19,04 418,38 370,06 5,21 2,585 6,598
380,00 - 400,00 224 54.706.434,84 19,21 419,35 388,86 4,65 2,585 6,493
400,00 - 420,00 98 24.654.231,71 8,66 421,95 406,53 4,83 2,535 6,248,,
,420,00 - 440,00 1 544.700,00 0,19 456,00 427,00 3,84 3,842 3,842,,
,440,00 - 443,00,1 500.000,00 0,18 480,00 443,00 2,63 2,635 2,635,
,TOTALES 1 .803 284.746.961,45 100 353,95 323,04 4,91 2,535 6,598,,
60,,,
