,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAJA INGENIEROS TDA 1
(División por Fecha de Formalización),
,,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO INICIAL RESIDUAL
FECHA DE SALDO ACTUAL PONDERADO POR Min. TIPO Máx. TIPO
NUM SALDO ACTUAL (euros) PONDERADO POR PONDERADO POR
FORMALIZACION (año) (%) SALDO ACTUAL ACTUAL (%) ACTUAL (%)
SALDO INICIAL (meses) SALDO ACTUAL
(%)
(meses),
,1994 2 61.899,09 0,02 276,00 99,94 5,42 5,210 5,856
1995 2 127.475,78 0,04 299,47 132,44 5,11 5,047 5,178
1996 6 216.282,93 0,08 256,74 116,53 5,69 5,213 6,138
1997 2 2 902.140,89 0,32 259,65 128,34 5,09 2,884 6,111
1998 2 0 901.318,84 0,32 274,34 150,27 5,10 3,375 6,111
1999 7 7 4.210.791,14 1,48 254,12 156,58 5,63 3,952 6,159
2000 4 1 2.217.166,31 0,78 268,02 171,48 5,02 3,122 6,143
2001 5 1 3.568.102,05 1,25 281,75 201,56 5,09 3,122 6,143
2002 7 3 8.359.088,70 2,94 334,23 264,00 5,19 2,735 6,361
2003 1 69 21.917.147,03 7,70 347,46 290,05 5,27 2,635 6,434
2004 3 26 45.921.578,81 16,13 354,50 308,36 5,10 2,535 6,598
2005 3 98 64.200.227,35 22,55 351,57 320,92 5,01 2,585 6,593
2006 2 85 57.296.926,48 20,12 371,87 345,68 4,77 2,585 6,493
2007 1 91 42.683.001,17 14,99 368,33 353,15 4,74 2,585 6,248
2008 1 40 32.163.814,88 11,30 374,51 364,31 4,52 2,535 6,248,
,TOTALES 1.803 2 84.746.961,45 100 353,95 323,04 4,91 2,535 6,598,
59,,
