,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN CAJA INGENIEROS TDA 1
(División por saldo actual),
,,
,VENCIMIENTO TIPO ACTUAL
SALDO VENCIMIENTO INICIAL
RESIDUAL PONDERADO PONDERADO POR SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL (euros) NUM SALDO ACTUAL (euros) ACTUAL PONDERADO POR
POR SALDO ACTUAL SALDO ACTUAL MEDIO (euros) ACTUAL (%) ACTUAL (%)
(%) SALDO INICIAL (meses)
(meses) (%),
,0,00 - 35.000,00 99 1.740.521,19 0,61 213,23 110,30 5,03 17.581,02 2,635 6,111
35.000,00 - 70.000,00 239 12.930.399,96 4,54 267,78 199,34 5,20 54.102,09 2,635 6,159
70.000,00 - 105.000,00 282 24.621.235,52 8,65 300,66 249,25 5,07 87.309,35 2,635 6,184
105.000,00 - 140.000,00 276 33.674.570,08 11,83 345,37 300,79 5,03 122.009,31 2,585 6,361
140.000,00 - 175.000,00 277 43.616.060,00 15,32 361,55 322,34 4,91 157.458,70 2,585 6,598
175.000,00 - 210.000,00 196 37.573.936,68 13,20 383,01 342,18 4,98 191.703,76 2,585 6,434
210.000,00 - 245.000,00 142 32.261.956,18 11,33 369,33 335,55 4,87 227.196,87 2,535 6,384
245.000,00 - 280.000,00 98 25.461.343,72 8,94 374,52 339,43 4,99 259.809,63 2,535 6,593
280.000,00 - 315.000,00 51 15.048.276,93 5,28 395,07 361,24 4,94 295.064,25 2,585 6,275
315.000,00 - 350.000,00 46 15.180.008,75 5,33 400,58 369,40 4,90 330.000,19 3,072 5,994
350.000,00 - 385.000,00 32 11.816.453,95 4,15 375,17 349,21 4,70 369.264,19 2,585 5,993
385.000,00 - 420.000,00 22 8.768.164,87 3,08 401,84 372,69 4,79 398.552,95 2,635 6,043
420.000,00 - 455.000,00 12 5.292.169,62 1,86 415,24 389,87 4,83 441.014,14 2,635 5,570
455.000,00 - 490.000,00 13 6.111.291,68 2,15 364,78 335,93 4,66 470.099,36 2,585 5,848
490.000,00 - 525.000,00 8 4.057.099,32 1,42 371,33 354,68 4,21 507.137,42 2,585 5,494
525.000,00 - 560.000,00 4 2.179.182,33 0,77 414,55 374,66 3,43 544.795,58 2,635 4,202
560.000,00 - 595.000,00 2 1.143.731,14 0,40 419,49 395,68 3,95 571.865,57 3,135 4,750
595.000,00 - 630.000,00 1 626.661,55 0,22 420,00 403,00 5,70 626.661,55 5,698 5,698
700.000,00 - 735.000,00 1 710.000,00 0,25 420,00 408,00 4,75 710.000,00 4,750 4,750
910.000,00 - 945.000,00 1 911.026,67 0,32 419,00 392,00 4,85 911.026,67 4,850 4,850
1.015.000,00 - 1.050.000,00 1 1.022.871,31 0,36 420,00 394,00 3,12 1.022.871,31 3,122 3,122,
,TOTALES 1.803 2 84.746.961,45 100 353,95 323,04 4,91 1 57.929,54 2,535 6,598,
61,,
