Carteradepréstamoshipotecariosaldía19.06.2013
Clasificaciónporprincipalpendiente,,,
Intervalodeprincipal
(eneuros),Préstamoshipotecarios
Nº. %,Principalpendiente
(euros) %,
0,00-24.999,99,162 7,61,3.005.142,52 1,58,
25.000,00 -49.999,99,401 18,84,15.054.024,21 7,93,
50.000,00 -74.999,99,409 19,22,25.556.964,71 13,46,
75.000,00-99.999,99,394 18,52,34.350.284,45 18,09,
100.000,00 -124.999,99,281 13,20,31.446.738,79 16,56,
125.000,00 -149.999,99,211 9,92,28.848.364,98 15,19,
150.000,00 -174.999,99,126 5,92,20.324.090,08 10,71,
175.000,00-199.999,99,69 3,24,12.860.810,85 6,77,
200.000,00 -224.999,99,36 1,69,7.639.621,19 4,02,
225.000,00 -249.999,99,15 0,70,3.557.979,08 1,87,
250.000,00 -274.999,99,9 0,42,2.350.732,36 1,24,
275.000,00 -299.999,99,5 0,23,1.434.300,71 0,76,
300.000,00 -324.999,99,4 0,19,1.245.957,01 0,66,
325.000,00 -349.999,99,4 0,19,1.344.495,04 0,71,
350.000,00 -374.999,99,1 0,05,355.380,18 0,19,
475.000,00 -499.999,99,1 0,05,479.722,69 0,25,
Total 2.128 100,00 189.854.608,85 100,00,,,
,Principalmedio:,89.217,39,
,Principalmínimo:,85,70,
,Principalmáximo:,479.722,69,
