Carteradepréstamoshipotecariosaldía19.06.2013
Clasificaciónporrelaciónprincipalpendiente/ValorTasación,,,
IntervalosRelación,Préstamoshipotecarios,Principalpendiente,(%)Principal
pendiente/
V.Tasación*
,%,(euros) %,
0,01 - 5,00,3 0,14,6.883,93 0,00,3,96
5,01 - 10,00,27 1,27,469.315,18 0,25,8,21
10,01 - 15,00,80 3,76,1.892.755,86 1,00,12,72
15,01 - 20,00,105 4,93,3.563.944,47 1,88,17,69
20,01 - 25,00,89 4,18,4.026.597,18 2,12,22,62
25,01 - 30,00,102 4,79,4.535.609,66 2,39,27,60
30,01 - 35,00,132 6,20,7.943.470,10 4,18,32,72
35,01 - 40,00,106 4,98,7.290.472,34 3,84,37,68
40,01 - 45,00,121 5,69,10.478.021,02 5,52,42,85
45,01 - 50,00,166 7,80,14.857.588,72 7,83,47,52
50,01 - 55,00,146 6,86,13.328.945,55 7,02,52,59
55,01 - 60,00,133 6,25,13.306.169,03 7,01,57,54
60,01 - 65,00,203 9,54,20.927.894,80 11,02,62,59
65,01 - 70,00,244 11,47,27.476.044,59 14,47,67,77
70,01 - 75,00,298 14,00,36.941.592,20 19,46,72,45
75,01 - 80,00,125 5,87,16.445.490,50 8,66,76,62
80,01 - 85,00,26 1,22,3.751.322,09 1,98,82,75
85,01 - 90,00,16 0,75,2.089.180,39 1,10,87,29
90,01 - 95,00,5 0,23,404.041,41 0,21,90,66
95,01 - 100,00,1 0,05,119.269,83 0,06,95,24
Total 2.128 100,00 189.854.608,85 100,00,,,
MediaPonderada: 58,53%
MediaSimple: 51,23%
Mínimo: 0,08%
Máximo: 95,24%
*RelaciónPrincipalpendiente/V.Tasaciónsonmediasponderadasporelprincipalpendiente.,,,
