Carteradepréstamoshipotecariosaldía19.06.2013
Clasificaciónporelañoamortizaciónfinal,,,
Añodeamortizaciónfinal,Préstamos
hipotecarios
%,Principalpendiente
(euros) %,VidaResidualmp*
Años Fecha
2013,1 0,05,1.141,04 0,00,0,27 24/09/2013
2014,2 0,09,43.385,82 0,02,1,44 26/11/2014
2015,10 0,47,178.342,03 0,09,1,97 8/06/2015
2016,13 0,61,246.234,65 0,13,3,00 19/06/2016
2017,34 1,60,868.263,52 0,46,4,16 16/08/2017
2018,42 1,97,1.324.666,07 0,70,5,09 24/07/2018
2019,36 1,69,1.605.109,35 0,85,6,09 20/07/2019
2020,54 2,54,1.911.333,93 1,01,7,05 6/07/2020
2021,53 2,49,2.531.439,90 1,33,8,10 27/07/2021
2022,55 2,58,2.620.294,65 1,38,9,02 27/06/2022
2023,46 2,16,2.349.710,01 1,24,10,14 9/08/2023
2024,63 2,96,3.467.273,94 1,83,11,15 12/08/2024
2025,62 2,91,3.302.026,39 1,74,12,06 11/07/2025
2026,84 3,95,5.499.317,54 2,90,13,14 10/08/2026
2027,46 2,16,2.532.690,04 1,33,13,96 4/06/2027
2028,67 3,15,4.646.442,84 2,45,15,09 23/07/2028
2029,70 3,29,5.456.155,16 2,87,16,06 9/07/2029
2030,113 5,31,10.079.073,07 5,31,17,09 22/07/2030
2031,86 4,04,6.891.791,49 3,63,18,04 4/07/2031
2032,58 2,73,5.122.774,33 2,70,19,09 23/07/2032
2033,62 2,91,5.456.984,06 2,87,20,09 23/07/2033
2034,107 5,03,10.028.733,10 5,28,21,07 15/07/2034
2035,136 6,39,13.510.311,64 7,12,22,10 27/07/2035
