,Importes en millones de euros,,,,,,,,,,
,BALANCE,,,30.09.07,,,30.09.06,,,%,
Activo total,,,239.616,,,209.125,,,14,6,,
Créditos sobre clientes (bruto),,,155.502,,,132.540,,,17,3,,
Recursos de clientes en balance,,,191.416,,,165.648,,,15,6,,
Otros recursos gestionados de clientes,,,29.907,,,30.680,,,-2,5,,
Patrimonio neto,,,16.106,,,13.513,,,19,2,,
Fondos propios (incluido el beneficio no distribuido),,,12.222,,,9.534,,,28,2,,
,,,,,,,,,,,
,CUENTA DE RESULTADOS,,,30.09.07,,,30.09.06,,,%,
,,,,,,,,,,,
Margen de intermediación,,,2.660,,,2.043,,,30,2,,
Margen ordinario,,,4.674,,,3.660,,,27,7,,
Margen de explotación,,,2.621,,,1.814,,,44,5,,
Beneficio antes de impuestos,,,2.133,,,2.357,,,-9,5,,
Beneficio total del Grupo,,,1.826,,,1.803,,,1,3,,
Beneficio recurrente del Grupo,,,1.466,,,1.079,,,35,9,,
,,,,,,,,,,,
,RATIOS RELEVANTES (%),,,30.09.07,,,30.09.06,,,,
,,,,,,,,,,,
