,ACTIVO,,,Euros,,,PASIVO,,,Euros,
,,,,,,,,,,,
Derechos de Crédito*,,,1.500.000.000,,,Bonos de la Serie A1,,,337.500.000,,
,,,,,,Bonos de la Serie A2,,,931.500.000,,
,,,,,,Bonos de la Serie A3(CA),,,127.000.000,,
,,,,,,Bonos de la Serie B,,,66.000.000,,
,,,,,,Bonos de la Serie C,,,38.000.000,,
,,,,,,Bonos de la Serie D,,,29.300.000,,
Tesorería,,,,,,,,,,,
Fondo de Reserva,,,29.300.000,,,,,,,,
Gastos Iniciales Activados,,,1.875.000,,,Préstamo Gastos Iniciales,,,1.875.000,,
Otros Recursos Depositados,,,0,,,,,,,,
,TOTAL ACTIVO,,,1.531.175.000,,,TOTAL PASIVO,,,1.531.175.000,
