,con datos a 14 de noviembre de 2006,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN FTPYME TDA CAM 4
(División por Tipo de Interés Actual),
,,
,VENCIMIENTO VENCIMIENTO
SALDO INICIAL RESIDUAL TIPO ACTUAL
TIPO DE INTERÉS SALDO ACTUAL Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO POR SALDO Min. TIPO ACTUAL
ACTUAL EUROS ACTUAL
% POR SALDO POR SALDO ACTUAL
INICIAL (meses) ACTUAL (meses),
,0,00 - 0,50 46 1 .680.986,11 0,09 61 49 0,010 0,000 0,499
1,00 - 1,50 2 1 49.594,05 0,01 225 203 1,020 1,000 1,250
1,50 - 2,00 39 1 .227.918,14 0,06 63 50 1,990 1,931 1,990
2,00 - 2,50 8 2 56.997,76 0,01 193 184 2,250 2,092 2,342
2,50 - 3,00 183 4 3.663.807,01 2,25 167 150 2,840 2,500 2,993
3,00 - 3,50 1.625 2 74.092.571,66 14,12 164 141 3,280 3,000 3,492
3,50 - 4,00 3.914 5 80.945.165,57 29,94 150 125 3,740 3,500 3,996
4,00 - 4,50 4.568 6 52.484.970,12 33,62 142 117 4,200 4,000 4,495
4,50 - 5,00 2.272 2 91.957.806,58 15,05 131 106 4,640 4,500 4,989
5,00 - 5,50 1.033 5 1.518.239,04 2,65 92 64 5,090 5,000 5,471
5,50 - 6,00 576 2 3.436.185,15 1,21 63 43 5,620 5,500 5,980
6,00 - 6,50 316 9 .266.363,39 0,48 64 44 6,110 6,000 6,471
6,50 - 7,00 255 6 .385.939,40 0,33 72 47 6,610 6,500 6,950
7,00 - 7,50 83 1 .987.207,00 0,1 62 44 7,080 7,000 7,300
7,50 - 8,00 46 1 .353.426,30 0,07 57 40 7,620 7,500 7,950
8,00 - 8,50 5 7 2.196,27 0 53 37 8,040 8,000 8,250,
,TOTAL 14.971 1.940.479.373,55 100 143 119 4,030 0,000 8,250,
76,,
