,,,
Fondo,,,Saldo Bonos
,Fecha,,
,,Emitido,
,Constitución,,31 de octubre
Fondos de Titulización Hipotecaria,,,
,,,de 2006
,,,
TDA 1 - F.T.H,1-dic-93,72.121.453€,0€
TDA 2 - F.T.H,24-nov-94,60.101.210€,0€
TDA 3 - F.T.H,4-ene-95,84.141.695€,0€
TDA 4 - F.T.H,22-abr-98,150.253.027€,29.729.469€
TDA 5 - F.T.H,16-oct-98,1.171.973.634€,196.990.454€
TDA 6 - F.T.H,20-ene-99,351.500.000€,72.329.681€
TDA 7 - F.T.H,12-mar-99,1.051.700.000€,281.533.159€
TDA 8 - F.T.H,9-abr-99,150.200.000€,47.641.910€
TDA 9 - F.T.H,12-may-99,332.400.000€,93.253.865€
TDA 10 - F.T.H,21-jul-99,240.500.000€,55.877.432€
TDA 11 - F.T.H,24-ene-00,660.600.000€,195.000.720€
TDA 12 - F.T.H,26-jun-00,513.900.000€,167.414.461€
Fondos de Titulización de Activos,,,
TDA 13-MIXTO - F.T.A,5-dic-00,389.500.000€,140.609.738€
TDA 14-MIXTO - F.T.A,20-jun-01,601.100.000€,245.192.334€
TDA 15-MIXTO - F.T.A,4-nov-02,450.900.000€,241.818.324€
TDA 16-MIXTO - F.T.A,26-may-03,532.000.000€,254.959.851€
TDA 17-MIXTO - F.T.A,24-oct-03,455.000.000€,263.534.193€
TDA 18-MIXTO - F.T.A,14-nov-03,421.000.000€,234.644.545€
TDA 19-MIXTO - F.T.A,27-feb-04,600.000.000€,366.786.317€
TDA 20-MIXTO - F.T.A,25-jun-04,421.000.000€,294.807.627€
TDA 21-MIXTO - F.T.A,23-jul-04,775.000.000€,486.504.829€
TDA 22-MIXTO - F.T.A,1-dic-04,530.000.000€,355.938.621€
TDA 23 - F.T.A,17-mar-05,860.000.000€,653.509.476€
TDA 24- F.T.A,28-nov-05,485.000.000€,425.993.535€
TDA 25- F.T.A,29-jul-06,265.000.000€,265.000.000€
TDA 26-MIXTO - F.T.A,5-jul-06,908.100.000€,879.398.927€
TDA PASTOR 1 - F.T.A,25-feb-03,494.600.000€,268.193.378€
TDA CAM 1 - F.T.A,13-mar-03,1.000.000.000€,564.803.640€
TDA CAM 2 - F.T.A,27-jun-03,1.100.000.000€,619.066.013€
TDA CAM 3 - F.T.A,16-ene-04,1.200.000.000€,736.378.255€
TDA CAM 4 - F.T.A,9-mar-05,2.000.000.000€,1.551.247.107€
TDA CAM 5 - F.T.A,5-oct-05,2.000.000.000€,1.737.674.307€
TDA CAM 6, FTA,29-mar-06,1.300.000.000€,1.216.831.240€
TDA CAM 7, FTA,13-oct-06,1.750.000.000€,1.750.000.000€
TDA IBERCAJA 1 - F.T.A,8-oct-03,600.000.000€,387.626.533€
TDA IBERCAJA 2 - F.T.A,13-oct-05,904.500.000€,795.349.237€
TDA CAJAMAR 2 - F.T.A,18-may-05,1.000.000.000€,815.000.000€
TDA IBERCAJA 3 - F.T.A.,12-may-06,1.007.000.000€,965.728.256€
TDA IBERCAJA 4 - F.T.A.,18-oct-06,1.410.500.000€,1.410.500.000€
CAIXA PENEDES 1 TDA - F.T.A.,18-oct-06,1.000.000.000€,1.000.000.000€
FTPYME ICO-TDA 1, F.T.A.,29-feb-00,474.400,00,0€
FTPYME ICO-TDA 2, F.T.A.,20-feb-01,262.732.500€,0€
