Elaborado con datos a 14 de noviembre de 2006,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN FTPYME TDA CAM 4
(División por descripción de actividad),,
,,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
SALDO INICIAL RESIDUAL
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
ACTIVIDAD NUM ACTUAL PONDERADO PONDERADO
EUROS POR SALDO ACTUAL ACTUAL
% POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses),,
,Actividades anexas al transporte. Agencia viaje. 54 11.473.961,12 0,59,111 86 4,0 2,750 7,250,
,Actividades auxiliares a la intermediación financiera 2 165.566,90 0,01 294 242 4,5 4,100 4,750
Actividades diversas de servicios personales 302 22.267.498,03 1,15 238 209 4,1 2,750 7,250
Actividades informáticas. 242 22.716.926,42 1,17 150 126 3,8 0,000 7,200
Actividades inmobiliarias 2.016 542.317.817,61 27,95 96 74 4,0 0,000 7,950
Actividades y desarrollo. 13 1.916.528,27 0,1 105 87 3,7 3,250 6,500
Agricultura, Ganadería,Caza, actividades relacionadas. 548 59.979.333,31 3,09 158 129 4,0 0,000 7,750
Alquiler de Maquinaria, efectos personales y enseres domésticos. 138 21.458.712,93 1,11 72 55 4,2 3,250 7,250
Antracita,hulla,lignito y turba. 6 5.143.803,36 0,27 37 25 3,5 3,250 4,639
Asociativas 25 8.194.753,39 0,42 163 120 3,9 2,914 7,000
Capatción, depuración y distribución de agua. 19 3.593.482,63 0,19 145 129 4,3 3,583 5,151
Caucho y materias plásticas. 79 8.304.832,28 0,43 112 88 4,1 2,750 6,250
Comercio al por mayor e intermediarios del comercio. 1.017 116.656.926,99 6,01 159 134 4,0 0,000 7,250
Comercio al por menor, reparación art. Personales y uso doméstico. 2.219 188.826.398,68 9,73 205 173 4,0 0,000 7,500
Confección y Peletería 49 4.682.959,77 0,24 130 106 3,9 3,000 5,500
Construcción de Maquinaria y equipo mecánico. 60 4.636.216,11 0,24 110 88 4,2 3,020 7,000
Construcción. 1.595 197.226.391,02 10,16 124 106 4,1 2,720 8,250
Correo y telecomunicaciones. 18 1.073.262,73 0,06 108 85 4,4 3,064 7,000
Curtido, artículos marroquinería y viajes, guarnicionería. 163 14.787.219,49 0,76 137 113 4,0 2,914 7,500
Edición, artes gráficas y reproducción. 103 9.101.374,78 0,47 134 108 4,1 3,000 6,750
Educación. 55 6.244.010,62 0,32 177 149 4,1 2,900 7,500
Energía eléctrica: gas, vapor agua caliente. 18 3.767.677,12 0,19 99 84 4,0 3,454 5,250
Hogares que emplean personal doméstico 3 223.610,81 0,01 227 211 4,3 4,071 6,600
Hostelería. 1.042 138.073.261,24 7,12 167 140 4,0 1,990 7,750
Instrumentos médicos de precisión, óptica y relojería. 11 666.673,25 0,03 151 124 4,0 3,000 5,500
Madera, corcho, cestería y espartería. 99 8.474.212,57 0,44 136 110 4,2 3,220 6,750
Maquinaria y material eléctrico. 146 10.755.355,06 0,55 246 221 4,1 3,000 7,300
Máquinas oficinas y equipos informáticos. 3 252.252,12 0,01 317 302 4,3 3,933 5,750
Material electrónico: radio, televisión y comunicaciones. 5 209.456,57 0,01 190 167 4,5 3,684 6,500
Metalúrgia 181 15.304.143,10 0,79 196 167 4,0 3,000 7,000
Minerales Metálicos. 3 244.860,14 0,01 138 108 4,0 3,454 4,615
Minerales no metálicos ni energéticos 25 4.042.159,03 0,21 100 62 4,2 3,454 6,500
Muebles, otras industrias manufactureras. 226 23.181.121,54 1,19 163 138 4,1 1,000 7,500
Otras actividades empresariales. 1.840 180.657.667,13 9,31 220 193 4,0 0,000 8,000
Otro material de transporte. 5 1.775.068,44 0,09 54 42 3,9 3,434 4,500
Papel 43 5.166.622,51 0,27 95 73 4,1 3,414 6,750
Pesca 31 1.604.963,94 0,08 114 88 2,8 0,000 7,100
Petróleo, gas natural y actividades relacionadas. 6 956.489,85 0,05 219 183 4,3 3,821 5,000
Producto: metálicos excepto maquinaria y equipos. 171 20.852.436,55 1,07 103 81 4,1 3,000 8,000
Productos alimenticios y bebidas 246 38.990.722,26 2,01 120 96 4,1 2,870 7,500
Productos minerales no metálicos. 181 29.531.603,19 1,52 92 66 4,1 2,914 7,750
Química 69 12.710.169,00 0,66 113 87 3,9 3,000 7,500
Reciclaje 5 1.709.234,34 0,09 78 70 4,1 3,975 5,750
Recreativas, culturales y deportivas. 188 25.740.604,87 1,33 139 115 4,0 2,900 6,750
Saneamiento público 4 678.599,46 0,03 47 33 4,7 3,721 5,000
Sanitarias, veterinarias y servicio social. 387 46.796.428,53 2,41 180 145 4,0 2,500 7,000
Seguros y planes de pensiones excepto 2 105.714,42 0,01 78 61 4,1 3,454 5,715
Selvicultura, forestal y actividades relacionadas. 7 875.602,31 0,05 276 239 4,3 3,383 6,500
Textil 81 16.366.594,74 0,84 83 64 4,1 2,760 7,000
Transporte aereo y especial. 2 382.830,24 0,02 183 168 4,2 3,755 4,750
Transporte marítimo. 4 1.226.689,54 0,06 102 91 4,5 3,901 4,715
Transporte terrestre, transporte por tuberías. 958 64.816.025,16 3,34 161 137 4,1 2,700 7,500
Uranio y bario. 9 823.619,35 0,04 196 156 4,0 3,333 5,750
Vehículos a motor, remolques y semiremolques. 12 2.065.557,36 0,11 102 80 4,6 3,500 5,512
Venta y mantenimiento vehículos. Venta menor combustibles vehículos. 235 30.683.371,37 1,58 117 94 4,0 2,720 7,000,,
,TOTAL 14.971 1.940.479.374 100 143 119 4,030 0,000 8,250,,
74,,,
