,,,,
,,,,
,,,,
,AUDITED PORTFOLIO, TDA CAM 5 ISSUE
(Grouped by Loan to Value),,,
,,,,
,WEIGHTED
WEIGHTED WEIGHTED WEIGHTED Min.
CURRENT AVERAGE Max. CURRENT
LOAN TO VALUE TOTAL CURRENT AVERAGE AVERAGE AVERAGE LOAN CURRENT
NUM BALANCE CURRENT INTEREST
RATIO BALANCE EUROS INITIAL TERM REMAINING TO VALUE INTEREST
% INTEREST RATE
(months) TERM (months) RATIO RATE
RATE,,,
,0,00 - 10,00 1 62 625,457.05 0.03 155 136 3.250 8.46 2.693 4.074
10,00 - 20,00 1 86 9,644,824.56 0.39 232 212 3.170 16.47 2.683 4.195
20,00 - 30,00 6 07 39,325,964.94 1.59 247 227 3.190 25.73 2.500 5.750
30,00 - 40,00 1 ,146 88,154,717.18 3.55 282 261 3.180 35.52 2.250 5.000
40,00 - 50,00 1 ,741 154,563,499.00 6.23 294 272 3.180 45.37 2.500 4.417
50,00 - 60,00 2 ,305 225,034,643.71 9.07 304 282 3.180 55.20 1.850 5.900
60,00 - 70,00 3 ,740 385,081,837.73 15.52 309 287 3.210 65.35 2.250 5.750
70,00 - 80,00 8 ,978 966,510,797.28 38.96 338 318 3.270 75.90 2.300 4.828
80,00 - 90,00 2 ,977 380,505,433.29 15.34 351 333 3.300 85.14 2.250 4.941
90,00 - 100,00 1,803 231,104,310.97 9.32 356 337 3.280 94.48 2.500 4.250,,,
,TOTALES 23,645 2,480,551,485.71 100 327 307 3.250 71.15 1.850 5.900,,,
71,,,,
