% CAPR,0,5,10,15,20,25
CLASS A,,,,,,
Average
Life,16.73,10.08,6.65,4.80,3.70 2.98,
IRR,2.28,2.28,2.28,2.28,2.28 2.28,
Duration,11.72,7.15,4.74,3.46,2.68 2.19,
Final Life,28.52,23.02,16.51,12.26,9.51 7.75,
CLASS B,,,,,,
Average
Life,24.21,16.42,11.08,8.04,6.19 4.99,
IRR,2.40,2.40,2.40,2.40,2.40 2.40,
Duration,15.28,10.66,7.26,5.33,4.12 3.36,
Final Life,28.52,23.02,16.51,12.26,9.51 7.75,
CLASS C,,,,,,
Average
Life,24.21,16.42,11.08,8.04,6.19 4.99,
IRR,2.65,2.65,2.65,2.65,2.65 2.65,
Duration,15.23,10.63,7.24,5.32,4.12 3.36,
Final Life,28.52,23.02,16.51,12.26,9.51 7.75,
