LOAN TO VALUE RATIO
Interval Amounts Loans
(%) (thousands of EUR) % No. %
4.57 – 39.99 65,601.57 5.66 1,062 11.74
40.00 – 44.99 46,514.54 4.01 475 5.25
45.00 – 49.99 57,075.71 4.92 460 5.08
50.00 – 54.99 85,442.89 7.37 609 6.73
55.00 – 59.99 100,404.30 8.66 652 7.20
60.00 – 64.99 114,919.21 9.92 764 8.44
65.00 – 69.99 120,481.11 10.40 741 8.19
70.00 – 74.99 143,705.93 12.40 919 10.16
75.00 – 79.99 340,051.38 29.35 2,543 28.11
80.00 – 84.99 82,794.03 7.14 809 8.94
85.00 – 89.99 577.34 0.04 5 0.05
90.00 – 94.99 0.00 0.00 0 0.00
95.00 – 99.99 156.26 0.01 1 0.01
100.00 - 136.05 647.02 0.05 4 0.04
Totals: 1,158,371,336.85 100.00 9,044 100.00
