Interval Amounts Loans
(thousands of
(EUR) EUR) % No. %
7,512.65 - 49,999.99 38,356.73 3.31 1,137 12.57
50,000.00 - 99,999.99 216,267.25 18.66 2,840 31.40
100,000.00 - 149,999.99 277,894.33 23.99 2,272 25.12
150,000.00 - 199,999.99 221,889.47 19.15 1,293 14.29
200,000.00 - 249,999.99 157,614.63 13.60 710 7.85
250,000.00 - 299,999.99 105,617.75 9.11 388 4.29
300,000.00 - 349,999.99 83,796.47 7.23 259 2.86
350,000.00 - 399,999.99 39,295.60 3.39 108 1.19
400,000.00 - 449,999.99 9,308.54 0.80 22 0.24
450,000.00 - 499,999.99 1,863.00 0.16 4 0.04
500,000.00 - 549,999.99 2,583.52 0.22 5 0.05
550,000.00 - 599,999.99 1,130.00 0.09 2 0.02
600,000.00 - 649,999.99 618.00 0.05 1 0.01
650,000.00 - 699,999.99 689.00 0.05 1 0.01
700,000.00 - 727,000.00 1.447.00 0.12 2 0.02
Totals: 1,158,371,336.85 100.00 9,044 100.00
