LTV Original,,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,,,Tipo de,
,,,,,,,,,,,,,,,,,,,interés Medio,
,,,,,,,,,,,,,,,,,,,ponder.,
Menos de 5% 14 670.330,60 0,03% 47.881 808.617 4,25%
entre 5 y 9% 83 2.625.515,75 0,13% 31.633 2.879.314 4,13%
entre 10 y 14% 184 7.174.562,27 0,35% 38.992 8.082.794 4,15%
entre 15 y 19% 243 10.723.210,44 0,53% 44.128 12.120.657 4,17%
entre 20 y 24% 307 17.128.534,88 0,84% 55.793 19.104.463 4,07%
entre 25 y 29% 286 17.966.920,33 0,88% 62.821 19.762.939 4,16%
entre 30 y 34% 339 24.986.036,13 1,22% 73.705 27.284.055 4,13%
entre 35 y 39% 333 26.552.779,81 1,30% 79.738 28.914.569 4,16%
entre 40 y 44% 318 30.376.283,18 1,49% 95.523 33.010.285 4,13%
entre 45 y 49% 347 35.531.037,27 1,74% 102.395 38.351.113 4,18%
entre 50 y 54% 350 37.882.689,81 1,86% 108.236 40.758.880 4,15%
entre 55 y 59% 360 45.627.216,89 2,24% 126.742 48.819.302 4,15%
entre 60 y 64% 332 44.391.781,04 2,18% 133.710 47.307.185 4,20%
entre 65 y 69% 402 55.001.971,70 2,70% 136.821 59.224.670 4,13%
entre 70 y 74% 427 60.822.570,52 2,98% 142.442 64.699.065 4,14%
entre 75 y 79% 1.238 175.352.834,61 8,60% 141.642 188.313.357 4,18%
entre 80 y 84% 380 60.828.657,97 2,98% 160.075 63.872.916 4,33%
entre 85 y 89% 952 179.598.041,78 8,80% 188.653 185.799.313 4,35%
entre 90 y 94% 905 168.161.695,05 8,24% 185.814 175.881.854 4,34%
entre 95 y 99% 5.010 989.050.855,22 48,49% 197.415 1.017.154.285 4,41%
entre 100 y 104% 290 49.451.132,16 2,42% 170.521 50.989.245 4,39%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,,,
