Provincia
deudor,,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo Inicial,,,Tipo de
interés Medio
ponder.
Barcelona 7.470 1.271.007.946,74 62,31% 170.148 1.325.249.478 4,29%
Madrid 1.501 256.855.081,64 12,59% 171.123 269.138.039 4,38%
Valencia 915 108.153.485,61 5,30% 118.201 113.705.454 4,46%
Gerona 510 74.152.369,31 3,64% 145.397 77.764.271 4,30%
Tarragona 469 60.839.977,12 2,98% 129.723 63.459.579 4,28%
Murcia 396 48.025.265,89 2,35% 121.276 49.471.654 4,42%
Alicante 245 27.348.815,77 1,34% 111.628 29.335.515 4,34%
Zaragoza 192 27.017.051,30 1,32% 140.714 28.008.035 4,49%
Lérida 253 25.159.302,27 1,23% 99.444 27.042.856 4,33%
Castellón 165 18.212.884,94 0,89% 110.381 19.311.081 4,45%
Otras 984 123.132.476,82 6,04% 125.135 130.652.915 4,30%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,
