Saldo Vivo
(euros),,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,,,Tipo de,
,,,,,,,,,,,,,,,,,,,interés,
,,,,,,,,,,,,,,,,,,,Medio,
,,,,,,,,,,,,,,,,,,,ponder.,
0 - 50.000 1.531 51.399.131,68 2,52% 33.572 68.528.898 4,32%
50.000 - 100.000 2.266 168.747.819,34 8,27% 74.469 189.110.984 4,29%
100.000 - 150.000 2.438 307.501.204,48 15,07% 126.128 323.694.162 4,32%
150.000 - 200.000 2.699 474.271.012,36 23,25% 175.721 491.018.359 4,30%
200.000 - 250.000 2.660 593.552.083,35 29,10% 223.140 606.805.224 4,37%
250.000 - 300.000 1.117 301.341.774,67 14,77% 269.778 306.484.673 4,36%
300.000 - 350.000 243 77.361.771,64 3,79% 318.361 78.911.704 4,32%
350.000 - 400.000 86 32.202.248,88 1,58% 374.445 33.174.070 4,13%
400.000 - 450.000 18 7.553.241,13 0,37% 419.625 7.718.516 3,97%
450.000 - 500.000 11 5.159.305,96 0,25% 469.028 5.384.285 4,03%
500.000 > 31 20.815.063,92 1,02% 671.454 22.308.002 3,90%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,00%,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,,,
