Año
Vencimiento,,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,,,Tipo de,
,,,,,,,,,,,,,,,,,,,interés,
,,,,,,,,,,,,,,,,,,,Medio,
,,,,,,,,,,,,,,,,,,,ponder.,
<= 2009 13 325.394,39 0,02% 25.030 935.256 4,43%
2010 - 2011 39 1.189.815,18 0,06% 30.508 2.437.331 4,47%
2012 - 2013 125 4.535.583,42 0,22% 36.285 7.158.735 4,35%
2014 - 2015 191 8.191.869,75 0,40% 42.889 11.985.393 4,26%
2016 - 2017 193 9.530.770,38 0,47% 49.382 13.264.134 4,32%
2018 - 2019 351 20.409.946,66 1,00% 58.148 25.605.206 4,22%
2020 - 2021 333 25.603.063,27 1,26% 76.886 30.123.150 4,25%
2022 - 2023 263 18.406.733,61 0,90% 69.988 21.974.503 4,22%
2024 - 2025 466 37.995.891,99 1,86% 81.536 44.313.079 4,25%
2026 - 2027 410 40.113.939,47 1,97% 97.839 43.915.355 4,23%
2028 - 2029 524 50.881.951,54 2,49% 97.103 55.871.602 4,23%
2030 - 2031 720 81.586.853,15 4,00% 113.315 87.415.981 4,23%
2032 - 2033 700 80.370.588,90 3,94% 114.815 86.972.393 4,31%
2034 - 2035 3.033 503.806.689,51 24,70% 166.108 525.124.559 4,37%
2036 - 2037 4.831 972.435.734,09 47,67% 201.291 989.002.373 4,32%
2038 - 2039 7 1.162.739,49 0,06% 166.106 1.493.480 4,25%
2040 - 2041 235 45.273.752,40 2,22% 192.654 46.034.180 4,30%
2042 - 2043 8 1.485.707,66 0,07% 185.713 1.502.495 4,45%
2044 - 2045 56 10.940.291,44 0,54% 195.362 11.245.622 4,69%
2046 - 2047 602 125.657.341,11 6,16% 208.733 126.764.051 4,34%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,,,
