Año
Formalización,,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,Tipo de,
,,,,,,,,,,,,,,,,,interés Medio,
,,,,,,,,,,,,,,,,,ponder.,
<= 1996 35 1.278.758,37 0,06% 36.536 2.415.167 4,99%
1997 54 2.728.997,35 0,13% 50.537 4.136.322 4,78%
1998 48 2.450.902,23 0,12% 51.060 3.740.014 4,59%
1999 324 15.436.233,18 0,76% 47.643 20.859.402 4,55%
2000 345 18.188.788,74 0,89% 52.721 23.412.804 4,43%
2001 275 18.629.603,40 0,91% 67.744 23.278.326 4,48%
2002 418 31.725.535,47 1,56% 75.898 36.893.116 4,44%
2003 766 63.328.447,88 3,10% 82.674 72.022.516 4,23%
2004 1.520 161.437.936,12 7,91% 106.209 177.009.491 4,21%
2005 2.669 453.591.750,23 22,24% 169.948 474.462.468 4,39%
2006 6.646 1.271.107.704,44 62,31% 191.259 1.294.909.251 4,30%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,
