LTV Actual,,,Número,,,Saldo
Vivo,,,% Saldo
Vivo,,,Saldo
Medio,,,Saldo
Inicial,,,,Tipo de,
,,,,,,,,,,,,,,,,,,,interés Medio,
,,,,,,,,,,,,,,,,,,,ponder.,
Menos de 5% 20 790.395,36 0,04% 39.520 1.088.847 4,24%
entre 5 y 9% 127 4.081.030,96 0,20% 32.134 5.123.837 4,15%
entre 10 y 14% 278 10.060.703,11 0,49% 36.190 13.087.781 4,16%
entre 15 y 19% 331 15.688.598,66 0,77% 47.398 21.476.048 4,14%
entre 20 y 24% 334 17.998.653,39 0,88% 53.888 21.478.478 4,12%
entre 25 y 29% 353 23.410.105,46 1,15% 66.318 27.577.917 4,15%
entre 30 y 34% 373 28.142.036,74 1,38% 75.448 32.697.950 4,13%
entre 35 y 39% 354 30.171.067,13 1,48% 85.229 34.937.879 4,19%
entre 40 y 44% 353 36.047.826,01 1,77% 102.118 40.307.744 4,17%
entre 45 y 49% 401 43.169.811,14 2,12% 107.655 49.034.480 4,14%
entre 50 y 54% 394 44.868.414,29 2,20% 113.879 49.992.985 4,16%
entre 55 y 59% 402 49.800.584,45 2,44% 123.882 54.907.317 4,23%
entre 60 y 64% 392 52.393.658,35 2,57% 133.657 56.894.672 4,13%
entre 65 y 69% 523 70.050.746,65 3,43% 133.940 74.798.734 4,14%
entre 70 y 74% 584 80.860.406,95 3,96% 138.460 86.009.398 4,18%
entre 75 y 79% 801 132.179.503,40 6,48% 165.018 136.524.080 4,20%
entre 80 y 84% 493 80.798.819,67 3,96% 163.892 84.173.116 4,34%
entre 85 y 89% 1.079 199.770.130,88 9,79% 185.144 204.136.238 4,33%
entre 90 y 94% 1.184 223.061.150,65 10,93% 188.396 228.355.539 4,38%
entre 95 y 99% 4.324 896.561.014,16 43,95% 207.345 910.535.838 4,41%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Totales 13.100 2.039.904.657,41 100,00% 155.718 2.133.138.877 4,32%,,,,,,,,,,,,,,,,,,,,
